Iso3,Country,Site ID,Site name,Borehole name,Automatic Borehole ID,Local Borehole ID,Latitude,Longitude,Elevation in meters above sea level,Status,Drilling date,Unknown drilling date,Last editor,Date of update,Hidden borehole,Depth in m,Static water level in meters below ground level,Type of pump,Pump brand and model,Pump depth in m,Pump motor power in kilowatt,Energy source,Generator brand and model,Generator capacity in kilovolt-ampere (kVA),Casing diameter in inch,Casing material,Screened areas in m,Sum of screened areas in m,End of casing/start of open hole in m,Aquifer type,Driller's yield in m3/hr,Dynamic Water Level at driller's yield in m,Pumping tests (DWL [m] - yield [m3/hr]),Pumping test quality control evaluation from solar tool (read only),Safe yield from solar tool in m3/hr (read only),Transmissivity from constant rate pumping test in m2/sec,Daily pumping time in h,Date of last water quality control,Conductivity in micro S/cm (microsiemen/cm),pH,Turbidity in NTU,Ammonia concentration in mg/L,Arsenic concentration in micro g/L,Fluoride concentration in mg/L,Nitrate concentration in mg/L,Nitrite concentration in mg/L,E-Coli,Solar potential in % (read only),Investment cost estimation in $ (read only),Maintenance cost estimation (read only),Solar gross payback in years (read only),Amount of CO2 avoided in tonnes/year (read only),Attachment description,Comments
CMR,Cameroon,,Adamoua,Batoua Godele (Sanguere) F1,CMR--001,Unknown,6.311471,14.71734662,1094,active,23/11/2011,,,,no,45,10.84,hand_pump,,21,,,,,5,pvc,"17.4-29.2, 35.1-41.0",17.7,,fractured_rock,4,,,,,,10,,,,,,,,,,,,,,,,,
CMR,Cameroon,,Adamoua,Mbewe F1,CMR--002,Unknown,6.834539,14.78882198,1261,active,30/12/2008,,,,no,45,11.07,hand_pump,,24,,,,,5,pvc,30.7-42.5,11.8,,fractured_rock,4.5,,,,,,10,,,,,,,,,,,,,,,,,
CMR,Cameroon,,Adamoua,Djaoro Mone F1,CMR--003,Unknown,7.075934,15.12212818,1086,active,30/12/2008,,,,no,45,11.34,hand_pump,,24,,,,,5,pvc,"17.1-28.9, 34.8-40.7",17.7,,fractured_rock,1.4,,,,,,10,,,,,,,,,,,,,,,,,
CMR,Cameroon,,Adamoua,Babongo Dakere F1,CMR--004,Unknown,6.832263,14.21443261,1116,active,21/12/2015,,,,no,60,18,hand_pump,,30,,,,,5,pvc,"18.7-30.5, 36.4-42.3, 48.2-54.1",23.6,,porous,0.95,,,,,,10,,,,,,,,,,,,,,,,,
CMR,Cameroon,,Adamoua,Babongo Dakere F2,CMR--005,Unknown,6.833431,14.21551667,1115,active,22/12/2015,,,,no,59,12.98,hand_pump,,39,,,,,5,pvc,"17.7-35.4, 41.3-53.1",29.5,,porous,0.8,,,,,,10,,,,,,,,,,,,,,,,,
CMR,Cameroon,,Adamoua,Mikila F1,CMR--006,Unknown,6.722062,14.4590953,1182,active,23/03/2011,,,,no,45,14.72,hand_pump,,24,,,,,5,pvc,31.7-43.5,11.8,,porous,1.8,,,,,,10,,,,,,,,,,,,,,,,,
CMR,Cameroon,,Adamoua,Batoua Godele (CSIP) F2,CMR--007,Unknown,6.322103,14.72295548,1089,active,20/06/2013,,,,no,60,10.74,hand_pump,,24,,,,,5,pvc,"21.5-27.4, 33.3-39.2, 45.1-51.0",17.7,,porous,2,,,,,,10,,,,,,,,,,,,,,,,,
CMR,Cameroon,CMRs004008,Borgop Site,F 3,CMR-CMRs004008-005,Unknown,6.92683333,14.81538889,1242,active,,,,,no,,,hand_pump,India Mark II,,,,,,4.5,pvc,,,,,,,,,,,10,10/8/2015,,,,,,,,,,,,,,,,UNHCR
CMR,Cameroon,CMRs004008,Borgop Site,F 1,CMR-CMRs004008-001,Unknown,6.92252778,14.81025,1283,active,,,,,no,,,hand_pump,India Mark II,,,,,,4.5,pvc,,,,,,,,,,,10,10/8/2015,,,,,,,,,,,,,,,,UNHCR
CMR,Cameroon,CMRs004008,Borgop Site,F 13,CMR-CMRs004008-002,Unknown,6.92627778,14.81319444,1258,active,,,,,no,,,hand_pump,India Mark II,,,,,,4.5,pvc,,,,,,,,,,,10,10/9/2015,,,,,,,,,,,,,,,,UNHCR
CMR,Cameroon,CMRs004008,Borgop Site,F 2,CMR-CMRs004008-003,Unknown,6.92625,14.81402778,1253,active,,,,,no,51,,hand_pump,India Mark II,,,,,,4.5,pvc,,,,,,,,,,,10,10/8/2015,,,,,,,,,,,,,,,,UNHCR
CMR,Cameroon,CMRs004008,Borgop Site,P3,CMR-CMRs004008-004,Unknown,6.92452778,14.81491667,1240,active,,,,,no,,,hand_pump,India Mark II,,,,,,4.5,pvc,,,,,,,,,,,7,10/10/2015,,,,,,,,,,,,,,,,UNHCR
CMR,Cameroon,CMRs004008,Borgop Site,P1,CMR-CMRs004008-006,Unknown,6.92622222,14.81625,1236,active,,,,,no,,,hand_pump,India Mark II,,,,,,4.5,pvc,,,,,,,,,,,7,10/10/2015,,,,,,,,,,,,,,,,UNHCR
CMR,Cameroon,CMRs004008,Borgop Site,P2,CMR-CMRs004008-007,Unknown,6.92641667,14.81661111,1238,active,,,,,no,,,hand_pump,India Mark II,,,,,,4.5,pvc,,,,,,,,,,,7,10/10/2015,,,,,,,,,,,,,,,,UNHCR
CMR,Cameroon,CMRs004008,Borgop Site,F 4,CMR-CMRs004008-008,Unknown,6.92816667,14.81777778,1257,active,,,,,no,45,15.14,hand_pump,India Mark II,22,,,,,4.5,pvc,,,,,,,,,,,10,10/8/2015,,,,,,,,,,,,,,,,UNICEF
CMR,Cameroon,CMRs004008,Borgop Site,F 16,CMR-CMRs004008-009,Unknown,6.92597222,14.81805556,1242,active,,,,,no,,,hand_pump,India Mark II,,,,,,4.5,pvc,,,,,,,,,,,10,10/10/2015,,,,,,,,,,,,,,,,UNHCR
CMR,Cameroon,CMRs004008,Borgop Site,F 5,CMR-CMRs004008-011,Unknown,6.92797222,14.81916667,1253,active,,,,,no,60,,hand_pump,India Mark II,,,,,,4.5,pvc,,,,,,,,,,,10,10/8/2015,,,,,,,,,,,,,,,,UNHCR
CMR,Cameroon,CMRs004008,Borgop Site,F 14,CMR-CMRs004008-012,Unknown,6.92719444,14.82033333,1246,active,,,,,no,,,hand_pump,India Mark II,,,,,,4.5,pvc,,,,,,,,,,,10,10/10/2015,,,,,,,,,,,,,,,,UNHCR
CMR,Cameroon,CMRs004008,Borgop Site,F 17,CMR-CMRs004008-013,Unknown,6.92933333,14.82077778,1245,active,,,,,no,,,hand_pump,India Mark II,,,,,,4.5,pvc,,,,,,,,,,,10,10/10/2015,,,,,,,,,,,,,,,,UNHCR
CMR,Cameroon,CMRs004008,Borgop Site,P4,CMR-CMRs004008-014,Unknown,6.93058333,14.82097222,1253,active,,,,,no,,,hand_pump,India Mark II,,,,,,4.5,pvc,,,,,,,,,,,7,10/10/2015,,,,,,,,,,,,,,,,UNHCR
CMR,Cameroon,CMRs004008,Borgop Site,F 7,CMR-CMRs004008-015,Unknown,6.93052778,14.82216667,1258,active,,,,,no,,,hand_pump,India Mark II,,,,,,4.5,pvc,,,,,,,,,,,,10/9/2015,,,,,,,,,,,,,,,,UNICEF
CMR,Cameroon,CMRs004008,Borgop Site,F 8,CMR-CMRs004008-016,Unknown,6.93052778,14.82294444,1256,active,,,,,no,67,14.9,hand_pump,India Mark II,22,,,,,4.5,pvc,,,,,,,,,,,10,10/9/2015,,,,,,,,,,,,,,,,UNICEF
CMR,Cameroon,CMRs004008,Borgop Site,F 11,CMR-CMRs004008-017,Unknown,6.93122222,14.82411111,1255,active,,,,,no,45.27,11.13,hand_pump,India Mark II,19,,,,,4.5,pvc,,,,,,,,,,,,10/9/2015,,,,,,,,,,,,,,,,UNICEF
CMR,Cameroon,CMRs004008,Borgop Site,F 12,CMR-CMRs004008-018,Unknown,6.92852778,14.82466667,1254,active,,,,,no,,,hand_pump,India Mark II,,,,,,4.5,pvc,,,,,,,,,,,10,10/9/2015,,,,,,,,,,,,,,,,UNHCR
CMR,Cameroon,CMRs004008,Borgop Site,F 9,CMR-CMRs004008-019,Unknown,6.93152778,14.82505556,1257,active,,,,,no,,,hand_pump,India Mark II,,,,,,4.5,pvc,,,,,,,,,,,10,10/9/2015,,,,,,,,,,,,,,,,UNHCR
CMR,Cameroon,CMRs004008,Borgop Site,F 6,CMR-CMRs004008-010,Unknown,6.92880556,14.819,1255,active,,,,,no,,,hand_pump,India Mark II,,,,,,4.5,pvc,,,,,,,,,,,10,10/8/2015,,,,,,,,,,,,,,,,UNHCR
CMR,Cameroon,CMRs004008,Borgop Site,F 10,CMR-CMRs004008-020,Unknown,6.92863889,14.82594444,1258,active,,,,,no,,,hand_pump,India Mark II,,,,,,4.5,pvc,,,,,,,,,,,10,10/9/2015,,,,,,,,,,,,,,,,UNHCR
CMR,Cameroon,CMRs004028,Gado ,F17-G1,CMR-CMRs004028-001,Unknown,5.75178,14.43296,987,active,11/11/2014,,,,no,46,,,,,,,,,4.5,pvc,,,,,,,,,,,10,17/11/2015,,,,,,,,,,,,,,,,UNICEF
CMR,Cameroon,CMRs004028,Gado ,F15-G1,CMR-CMRs004028-002,Unknown,5.75277,14.43516,994,active,21/07/2014,,,,no,45,,,,,,,,,4.5,pvc,,,,,,,,,,,10,17/11/2015,,,,,,,,,,,,,,,,UNICEF
CMR,Cameroon,CMRs004028,Gado ,F10-G1,CMR-CMRs004028-003,Unknown,5.74931,14.43424,996,active,13/05/2014,,,,no,58.09,10.8,electrical_pump,interdab,27,,,,,4.5,pvc,,,,,,,,,,,10,17/11/2015,,,,,,,,,,,,,,,,UNICEF Grundfos 0.605
CMR,Cameroon,CMRs004028,Gado ,F16-G1,CMR-CMRs004028-004,Unknown,5.75263,14.43548,938,active,24/07/2014,,,,no,60,,electrical_pump,interdab,,,,,,4.5,pvc,,,,,,,,,,,10,17/11/2015,,,,,,,,,,,,,,,,UNICEF
CMR,Cameroon,CMRs004028,Gado ,F9-G2,CMR-CMRs004028-005,Unknown,5.75518,14.12748,955,active,16/06/2015,,,,no,60,9.8,hand_pump,India Mark II,27,,,,,4.5,pvc,,,,,,,,,,,10,19/11/2015,,,,,,,,,,,,,,,,Solidarités International
CMR,Cameroon,CMRs004028,Gado ,F8-G2,CMR-CMRs004028-006,Unknown,5.74779,14.43155,948,active,13/06/2015,,,,no,60,8.78,hand_pump,India Mark II,27,,,,,4.5,pvc,,,,,,,,,,,10,19/11/2015,,,,,,,,,,,,,,,,Solidarités International
CMR,Cameroon,CMRs004028,Gado ,F18-G1,CMR-CMRs004028-007,Unknown,5.74784,14.43155,997,active,28/05/2015,,,,no,72.5,7.25,hand_pump,India Mark II,27,,,,,4.5,pvc,,,,,,,,,,,10,17/11/2015,,,,,,,,,,,,,,,,UNHCR
CMR,Cameroon,CMRs004028,Gado ,F22-G1,CMR-CMRs004028-008,Unknown,5.74727,14.43329,995,active,16/07/2015,,,,no,55,18.56,hand_pump,India Mark II,30,,,,,4.5,pvc,,,,,,,,,,,10,17/11/2015,,,,,,,,,,,,,,,,ECHO
CMR,Cameroon,CMRs004028,Gado ,F2-G1,CMR-CMRs004028-009,Unknown,5.75034,14.43357,996,active,10/3/2014,,,,no,46,13.2,hand_pump,India Mark II,30,,,,,4.5,pvc,,,,,,,,,,,10,16/11/2015,,,,,,,,,,,,,,,,UNHCR
CMR,Cameroon,CMRs004028,Gado ,F8-G1,CMR-CMRs004028-011,Unknown,5.75211,14.43411,991,active,25/03/2014,,,,no,44,11.7,hand_pump,India Mark II,27,,,,,4.5,pvc,,,,,,,,,,,10,16/11/2015,,,,,,,,,,,,,,,,UNHCR
CMR,Cameroon,CMRs004028,Gado ,F9-G1,CMR-CMRs004028-012,Unknown,5.75063,14.43431,1003,active,8/5/2014,,,,no,48.02,14.62,hand_pump,India Mark II,27,,,,,4.5,pvc,,,,,,,,,,,10,16/11/2015,,,,,,,,,,,,,,,,UNICEF
CMR,Cameroon,CMRs004028,Gado ,F6-G2,CMR-CMRs004028-013,Unknown,5.75776,14.43435,990,active,21/05/2014,,,,no,51.06,13,hand_pump,India Mark II,26,,,,,4.5,pvc,,,,,,,,,,,10,18/11/2015,,,,,,,,,,,,,,,,UNICEF
CMR,Cameroon,CMRs004028,Gado ,F5-G2,CMR-CMRs004028-014,Unknown,5.75604,14.43444,992,active,17/05/2014,,,,no,40.5,12.7,hand_pump,India Mark II,20,,,,,4.5,pvc,,,,,,,,,,,10,18/11/2015,,,,,,,,,,,,,,,,UNICEF
CMR,Cameroon,CMRs004028,Gado ,F7-G2,CMR-CMRs004028-015,Unknown,5.76,14.43459,953,active,6/7/2015,,,,no,61,7.5,hand_pump,India Mark II,27,,,,,4.5,pvc,,,,,,,,,,,10,18/11/2015,,,,,,,,,,,,,,,,Solidarités International
