Iso3,Country,Site ID,Site name,Borehole name,Automatic Borehole ID,Local Borehole ID,Latitude,Longitude,Elevation in meters above sea level,Status,Drilling date,Unknown drilling date,Last editor,Date of update,Hidden borehole,Depth in m,Static water level in meters below ground level,Type of pump,Pump brand and model,Pump depth in m,Pump motor power in kilowatt,Energy source,Generator brand and model,Generator capacity in kilovolt-ampere (kVA),Casing diameter in inch,Casing material,Screened areas in m,Sum of screened areas in m,End of casing/start of open hole in m,Aquifer type,Driller's yield in m3/hr,Dynamic Water Level at driller's yield in m,Pumping tests (DWL [m] - yield [m3/hr]),Pumping test quality control evaluation from solar tool (read only),Safe yield from solar tool in m3/hr (read only),Transmissivity from constant rate pumping test in m2/sec,Daily pumping time in h,Date of last water quality control,Conductivity in micro S/cm (microsiemen/cm),pH,Turbidity in NTU,Ammonia concentration in mg/L,Arsenic concentration in micro g/L,Fluoride concentration in mg/L,Nitrate concentration in mg/L,Nitrite concentration in mg/L,E-Coli,Solar potential in % (read only),Investment cost estimation in $ (read only),Maintenance cost estimation (read only),Solar gross payback in years (read only),Amount of CO2 avoided in tonnes/year (read only),Attachment description,Comments
CAF,Central African Republic,CAFs004579,Zemio,PE D2,CAF-CAFs004579-001,Unknown,5.01513889,25.11575,563,active,,,,,no,9.6,6.51,hand_pump,India II,,,,,,3,,,,,,1.7,,,,,,20,,,,2.5,,,,0.975,0.02,,,,,,,,
CAF,Central African Republic,CAFs004579,Zemio,PE D1,CAF-CAFs004579-002,Unknown,5.016,25.11819444,562,active,,,,,no,10.15,6.02,hand_pump,India II,,,,,,3,,,,,,1.8,,,,,,20,,,,2.5,0.03,,,0.705,0,,,,,,,,
CAF,Central African Republic,CAFs004579,Zemio,PE B2,CAF-CAFs004579-003,Unknown,5.01869444,25.11872222,561,active,,,,,no,10.7,10.4,hand_pump,Vergnet,,,,,,3,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,Asseche Et pompe en panne
CAF,Central African Republic,CAFs004579,Zemio,PE B1,CAF-CAFs004579-004,Unknown,5.01736111,25.12019444,568,active,,,,,no,9.9,7.8,hand_pump,India II,,,,,,3,,,,,,1.8,,,,,,20,,,,2.5,,,,,,,,,,,,,Cette pompe est tombee en panne juste avant les analyses
CAF,Central African Republic,CAFs004579,Zemio,PE E2,CAF-CAFs004579-005,Unknown,5.0205,25.12058333,561,active,,,,,no,10.5,9.7,hand_pump,Vergnet,,,,,,3,,,,,,0.86,,,,,,20,,,,2.5,0.02,,,1.01,0.002,,,,,,,,Tarrisable
CAF,Central African Republic,CAFs004579,Zemio,PE E1,CAF-CAFs004579-006,Unknown,5.02108333,25.12202778,560,active,,,,,no,8.7,8.6,hand_pump,Vergnet,,,,,,3,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,Asseche Et pompe en panne
CAF,Central African Republic,CAFs004579,Zemio,PE A4,CAF-CAFs004579-007,Unknown,5.01941667,25.12302778,563,active,,,,,no,9.85,7.15,hand_pump,India II,,,,,,3,,,,,,1.98,,,,,,20,,,,2.5,0.01,,,0.835,0.006,,,,,,,,
CAF,Central African Republic,CAFs004579,Zemio,PE A2,CAF-CAFs004579-008,Unknown,5.02069444,25.12380556,541,active,,,,,no,8.3,7,hand_pump,Vergnet,,,,,,3,,,,,,0.8,,,,,,20,,,,2.5,0.01,,,0.91,0.008,,,,,,,,Tarrissable
CAF,Central African Republic,CAFs004579,Zemio,PE A3,CAF-CAFs004579-009,Unknown,5.01969444,25.12458333,558,active,,,,,no,8.65,7.35,hand_pump,Vergnet,,,,,,3,,,,,,1.44,,,,,,8,,,,2.5,0.1,,,0.79,0.014,,,,,,,,Tarrissable
CAF,Central African Republic,CAFs004579,Zemio,PE A1,CAF-CAFs004579-010,Unknown,5.02116667,25.12558333,565,active,,,,,no,9.1,6.75,hand_pump,Vergnet,,,,,,3,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,Le pompe PE A1 est en panne. Il vaut mieux la remplacer avec une pompe India II. Et le point d'eau est tarrissable.
