Iso3,Country,Site ID,Site name,Borehole name,Automatic Borehole ID,Local Borehole ID,Latitude,Longitude,Elevation in meters above sea level,Status,Drilling date,Unknown drilling date,Last editor,Date of update,Hidden borehole,Depth in m,Static water level in meters below ground level,Type of pump,Pump brand and model,Pump depth in m,Pump motor power in kilowatt,Energy source,Generator brand and model,Generator capacity in kilovolt-ampere (kVA),Casing diameter in inch,Casing material,Screened areas in m,Sum of screened areas in m,End of casing/start of open hole in m,Aquifer type,Driller's yield in m3/hr,Dynamic Water Level at driller's yield in m,Pumping tests (DWL [m] - yield [m3/hr]),Pumping test quality control evaluation from solar tool (read only),Safe yield from solar tool in m3/hr (read only),Transmissivity from constant rate pumping test in m2/sec,Daily pumping time in h,Date of last water quality control,Conductivity in micro S/cm (microsiemen/cm),pH,Turbidity in NTU,Ammonia concentration in mg/L,Arsenic concentration in micro g/L,Fluoride concentration in mg/L,Nitrate concentration in mg/L,Nitrite concentration in mg/L,E-Coli,Solar potential in % (read only),Investment cost estimation in $ (read only),Maintenance cost estimation (read only),Solar gross payback in years (read only),Amount of CO2 avoided in tonnes/year (read only),Attachment description,Comments
TCD,Chad,TCDs002895,Amnaback,AMNA F002,TCD-TCDs002895-001,Unknown,15.33172222,22.55019444,,,,,,,no,44,3.4,hand_pump,Vergnet HPV60,,,,,,,,,,,fractured_rock,4.5,,,,,,10,,,,,,,,,,,,,,,,,
TCD,Chad,TCDs002895,Amnaback,AMNA F003,TCD-TCDs002895-002,Unknown,15.33172222,22.55019444,,,,,,,no,72,16.5,hand_pump,Vergnet HPV100,,,,,,,,,,,fractured_rock,1.7,,,,,,10,,,,,,,,,,,,,,,,,
TCD,Rep. of Chad,,Baibandji,F1,TCD--000010,Unknown,16.23075,7.48418,,active,29/03/2018,,Maazou,19/06/2019,no,49,,foot_pump,Vergnet HPV64,,,grid,,,,pvc,,,,porous,3,,,,,,12,,,,,,,,,,,,,,,,,
TCD,Rep. of Chad,,Baibandji,F1,TCD--000021,Unknown,16.23075,7.48418,,active,29/03/2018,,Maazou,19/06/2019,no,49,,foot_pump,Vergnet HPV64,,,grid,,,,pvc,,,,porous,3,,,,,,12,,,,,,,,,,,,,,,,,
TCD,Rep. of Chad,,Beakoro,F1,TCD--000009,Unknown,16.27355,7.51103,,active,25/03/2018,,Maazou,19/06/2019,no,50,,foot_pump,Vergnet HPV63,,,grid,,,,pvc,,,,porous,4,,,,,,12,,,,,,,,,,,,,,,,,
TCD,Rep. of Chad,,Beakoro,F1,TCD--000020,Unknown,16.27355,7.51103,,active,25/03/2018,,Maazou,19/06/2019,no,50,,foot_pump,Vergnet HPV63,,,grid,,,,pvc,,,,porous,4,,,,,,12,,,,,,,,,,,,,,,,,
TCD,Rep. of Chad,,Bedoro,F1,TCD--000016,Unknown,16.14211,7.42599,,active,25/04/2018,,Maazou,19/06/2019,no,45,,foot_pump,Vergnet HPV70,,,,,,,pvc,,,,porous,3,,,,,,12,,,,,,,,,,,,,,,,,
TCD,Rep. of Chad,,Bedoro,F1,TCD--000027,Unknown,16.14211,7.42599,,active,25/04/2018,,Maazou,19/06/2019,no,45,,foot_pump,Vergnet HPV70,,,,,,,pvc,,,,porous,3,,,,,,12,,,,,,,,,,,,,,,,,
TCD,Rep. of Chad,,Begoumi,F1,TCD--000012,Unknown,16.18547,7.45078,,active,7/4/2018,,Maazou,19/06/2019,no,41,,foot_pump,Vergnet HPV66,,,grid,,,,pvc,,,,porous,3,,,,,,12,,,,,,,,,,,,,,,,,
TCD,Rep. of Chad,,Begoumi,F1,TCD--000023,Unknown,16.18547,7.45078,,active,7/4/2018,,Maazou,19/06/2019,no,41,,foot_pump,Vergnet HPV66,,,grid,,,,pvc,,,,porous,3,,,,,,12,,,,,,,,,,,,,,,,,
TCD,Rep. of Chad,,Bekinamou,F1,TCD--000013,Unknown,16.18155,7.44444,,active,12/4/2018,,Maazou,19/06/2019,no,47,,foot_pump,Vergnet HPV67,,,grid,,,,pvc,,,,porous,3,,,,,,12,,,,,,,,,,,,,,,,,
TCD,Rep. of Chad,,Bekinamou,F1,TCD--000024,Unknown,16.18155,7.44444,,active,12/4/2018,,Maazou,19/06/2019,no,47,,foot_pump,Vergnet HPV67,,,grid,,,,pvc,,,,porous,3,,,,,,12,,,,,,,,,,,,,,,,,
TCD,Chad,TCDs004478,Belom,F10,TCD-TCDs004478-001,Unknown,8.20005,18.45124,411,active,26/01/2013,,,,no,50,7.65,hand_pump,Vergnet HPV60,27,,,,,5,pvc,37.0-50.0,13,,porous,3.4,,,,,,,,,,,,,,,,,,,,,,,
TCD,Chad,TCDs004478,Belom,F3,TCD-TCDs004478-002,Unknown,8.26818,18.45229,410,active,27/01/2012,,,,no,51,6.35,hand_pump,Vergnet HPV60,35,,,,,5,pvc,41.0-51.0,10,,porous,2.3,,,,,,,,,,,,,,,,,,,,,,,
TCD,Chad,TCDs004478,Belom,F4,TCD-TCDs004478-003,Unknown,8.27097,18.45247,414,active,10/10/2012,,,,no,54,7.45,hand_pump,Vergnet HPV60,28,,,,,5,pvc,41.0-54.0,13,,porous,2.3,,,,,,,,,,,,,,,,,,,,,,,
