Iso3,Country,Site ID,Site name,Borehole name,Automatic Borehole ID,Local Borehole ID,Latitude,Longitude,Elevation in meters above sea level,Status,Drilling date,Unknown drilling date,Last editor,Date of update,Hidden borehole,Depth in m,Static water level in meters below ground level,Type of pump,Pump brand and model,Pump depth in m,Pump motor power in kilowatt,Energy source,Generator brand and model,Generator capacity in kilovolt-ampere (kVA),Casing diameter in inch,Casing material,Screened areas in m,Sum of screened areas in m,End of casing/start of open hole in m,Aquifer type,Driller's yield in m3/hr,Dynamic Water Level at driller's yield in m,Pumping tests (DWL [m] - yield [m3/hr]),Pumping test quality control evaluation from solar tool (read only),Safe yield from solar tool in m3/hr (read only),Transmissivity from constant rate pumping test in m2/sec,Daily pumping time in h,Date of last water quality control,Conductivity in micro S/cm (microsiemen/cm),pH,Turbidity in NTU,Ammonia concentration in mg/L,Arsenic concentration in micro g/L,Fluoride concentration in mg/L,Nitrate concentration in mg/L,Nitrite concentration in mg/L,E-Coli,Solar potential in % (read only),Investment cost estimation in $ (read only),Maintenance cost estimation (read only),Solar gross payback in years (read only),Amount of CO2 avoided in tonnes/year (read only),Attachment description,Comments
ETH,Ethiopia,ETHs004073,Adiharush,BH#2,ETH-ETHs004073-001,Unknown,13.606878,38.12690085,1312,active,23/11/2011,,,,no,109.4,4.12,electrical_pump,Dynatech/DT8-42K,84,7.5,generator,,,5.7,pvc,,,,fractured_rock,7.92,,,,,,9,,,,,,,,,,,,,,,,,
ETH,Ethiopia,ETHs004073,Adiharush,BH#1,ETH-ETHs004073-002,Unknown,13.610811,38.12708055,1280,active,17/10/2010,,,,no,96,3.78,electrical_pump,Dynatech/DT8-42K,86,7.5,generator,,,6,pvc,,,,fractured_rock,7.92,,,,,,9,,,,,,,,,,,,,,,,,
ETH,Ethiopia,ETHs004073,Adiharush,BH#6,ETH-ETHs004073-003,Unknown,13.593472,38.15133325,1312,active,23/11/2011,,,,no,75.4,8.6,electrical_pump,NA,64,,generator,,,6,pvc,,,,fractured_rock,23.4,,,,,,9,,,,,,,,,,,,,,,,,
ETH,Ethiopia,ETHs004073,Adiharush,BH#8,ETH-ETHs004073-004,Unknown,13.586786,38.15258634,1311,active,20/06/2013,,,,no,165,7.9,electrical_pump,CAPRARI/E6X30/28,158,9.2,generator,,,6,pvc,,,,fractured_rock,2.88,,,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,ETHs004073,Adiharush,BH#7,ETH-ETHs004073-005,Unknown,13.589595,38.15437875,1312,active,1/7/2013,,,,no,155,4.33,electrical_pump,PANELLI/140PX21/18,147,18.5,generator,,,6,pvc,,,,fractured_rock,13.572,,,,,,9,,,,,,,,,,,,,,,,,
ETH,Ethiopia,ETHs004073,Adiharush,BH#9,ETH-ETHs004073-006,Unknown,13.571709,38.16168807,1343,active,15/06/2013,,,,no,165.1,34,electrical_pump,CAPARARI/E6X35/26,158,,generator,,,6,pvc,,,,fractured_rock,12.6,,,,,,9,,,,,,,,,,,,,,,,,
ETH,Ethiopia,,Aw-bare,AW-BH1,ETH--000016,AW-BH1,9.81025,43.219083,1538,active,,yes,13/01/2019,13/01/2019,no,189,74,electrical_pump,,89,11,grid_generator,,,6,steel,,,,rock,18,,,,,,8,,,,,,,,,,,,,,,,,
ETH,Ethiopia,,Aw-bare,AW-BH2,ETH--000017,AW-BH2,9.811778,43.220167,1537,active,,yes,14/01/2019,14/01/2019,no,194,76,electrical_pump,,92,11,grid_generator,,,6,steel,,,,rock,20,,,,,,8,,,,,,,,,,,,,,,,,
ETH,Ethiopia,,Aw-bare,AW-BH3,ETH--000018,AW-BH3,9.810944,43.221611,1540,active,,yes,15/01/2019,15/01/2019,no,176,74,electrical_pump,,90,11,grid_generator,,,6,steel,,,,rock,22,,,,,,8,,,,,,,,,,,,,,,,,
ETH,Ethiopia,ETHs003861,Aysayta,Aysaita BH,ETH-ETHs003861-000006,Aysaita BH,11.58884282,41.42492954,357,active,,yes,Hiruy Dawit,18/10/2019,no,,15.88,electrical_pump,,59.7,37,generator,Perkins,24,6,,,,,,25,,,,,,6,,,,,,,,,,,,,,,,,
ETH,Ethiopia,ETHs004591,Bambasi,Bambasi Borehole#3,ETH-ETHs004591-001,Unknown,9.75931667,34.77353333,1350,active,29/01/2005,,,,no,106,0,electrical_pump,Submersible,83,22,generator,Perkins &Cummins,60,6,pvc,,,,,14.4,,,,,,10.5,,,,,,,,,,,,,,,,,
ETH,Ethiopia,ETHs004591,Bambasi,Bambasi Borehole#1,ETH-ETHs004591-002,Unknown,9.76955,34.77681667,1358,active,10/6/2012,,,,no,104,2.14,electrical_pump,Submersible,76.3,18.5,generator,JCB &JCB,108,6,pvc,,,,,23.04,,,,,,10.5,,,,,,,,,,,,,,,,,
ETH,Ethiopia,ETHs004591,Bambasi,Bambasi Borehole#4,ETH-ETHs004591-003,Unknown,9.76601667,34.78008333,1347,active,5/1/2005,,,,no,97.5,2,electrical_pump,Grundfos Submersible,80,15,generator,Perkins& Cummins,,6,pvc,,,,,18,,,,,,10.5,,,,,,,,,,,,,,,,,
ETH,Ethiopia,ETHs003862,Berhale,BH1,ETH-ETHs003862-000001,BH1,13.85690659,40.01814812,667.08,active,1/7/2014,,Hiruy Dawit,18/10/2019,no,135,37.4,electrical_pump,"Franklin E-Tech, VS 19/24",119,,grid_generator,"Perkins, GEP88-3",80,6,,,,,,4.12,,,,,,,,,,,,,,,,,,,,,,,Total screen length: 37.05
ETH,Ethiopia,ETHs003862,Berhale,BH2,ETH-ETHs003862-000002,BH2,13.85495913,40.0169448,668.65,active,1/7/2014,,Hiruy Dawit,18/10/2019,no,135,37.4,electrical_pump,"Franklin E-Tech, VS 19/25",124,,generator,"Perkins, 1103A-33TG1",45,6,,,,,,5.02,,,,,,,,,,,,,,,,,,,,,,,Total screen length: 46.5
ETH,Ethiopia,ETHs003862,Berhale,BH3,ETH-ETHs003862-000003,BH3,13.84402028,40.0137088,681.07,inactive,1/7/2014,,Hiruy Dawit,18/10/2019,no,,,electrical_pump,,,,generator,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jammed with gravel and stones. New borehole to be drilled in Q4 2019.
ETH,Ethiopia,ETHs003862,Berhale,BH4,ETH-ETHs003862-000004,BH4,13.84184194,40.01358833,694,active,1/7/2014,,Hiruy Dawit,18/10/2019,no,120,13.96,electrical_pump,GRUNDFOS; SP17-20,94,,generator,Cummins,33,6,,,,,,1.27,,,,,,,,,,,,,,,,,,,,,,,Total screen length: 39.9
ETH,Ethiopia,ETHs003862,Berhale,BH5,ETH-ETHs003862-000005,BH5,13.83513032,40.01219919,706,inactive,1/7/2014,,Hiruy Dawit,18/10/2019,no,115,12.4,electrical_pump,GRUNDFOS; SP17-21,102,,generator,,,6,,,,,,2.07,,,,,,,,,,,,,,,,,,,,,,,Total screen length: 39.9
ETH,Ethiopia,ETHs004110,Buramino,Buramino BH 1,ETH-ETHs004110-000001,Bur BH-1,4.312778,41.947389,186,active,1/9/2011,no,Bekele Tadesse  WASH Associate,3/10/2019,no,20.75,6.33,electrical_pump,,19.75,7.5,generator,,58,6,pvc,,,,fractured_rock,30.6,,,,,,14,,,7,,,,,,,,,,,,,,
ETH,Ethiopia,ETHs004110,Buramino,Buramino BH-3  Not active BH.,ETH-ETHs004110-000002,Bur BH-3  Salty and currently Nonfunctional,4.313528,41.947667,184,active,1/11/2011,no,"Bekele Tadesse, WASH Associate",3/10/2019,no,19,7.02,electrical_pump,,19,7.5,generator,,58,6,pvc,,,,fractured_rock,34.2,,,,,,15,,,7,,,,,,,,,,,,,,
ETH,Ethiopia,ETHs004110,Buramino,Buramino BH-2,ETH-ETHs004110-000003,Bur BH 2,4.313947,41.948056,183,active,7/11/2011,no,"Bekele Tadesse, WASH Associate",3/10/2019,no,20,6,electrical_pump,,19,7.5,generator,,58,6,pvc,,,,fractured_rock,22.3,,,,,,14,,,7,,,,,,,,,,,,,,
ETH,Ethiopia,ETHs004110,Buramino,Buramino BH 4,ETH-ETHs004110-000004,Bur BH 4,4.313694,41.947222,181,active,15/11/2011,no,"Bekele Tadesse, WASH Associate",3/10/2019,no,20,6.3,electrical_pump,,19,7.5,generator,,58,6,pvc,,,,fractured_rock,22,,,,,,,,,,,,,,,,,,,,,,,It is a back up BH
ETH,Ethiopia,ETHs004109,Helaweyn,Heleweyen BH-1,ETH-ETHs000161-000001,HE BH-1,4.39,41.886878,190,active,2/2/2013,no,"Bekele Tadesse, WASH Associate",3/10/2019,no,20.67,6.2,electrical_pump,"DK ,Bjerringbro , Denmark submersible pumps, 5.5 kw",17.6,5.5,generator,35 KVA,35,6,pvc,,,,,25.5,,,,,,15,,,,,,,,,,,,,,,,,
ETH,Ethiopia,ETHs004109,Helaweyn,Heleweyen BH-2,ETH-ETHs028053-000001,HE BH-2,4.389575,41.886944,190,active,1/2/2013,no,"Bekele Tadesse, WASH Associate",3/10/2019,no,20.67,5.54,electrical_pump,"DK 8850  ,Bjerringbro; Denmark brand.",17.6,7.5,generator,,35,6,pvc,,,,fractured_rock,26.1,,,,,,16,,,7,,,,,,,,,,,,,,
ETH,Ethiopia,ETHs004109,Helaweyn,Heleweyen BH-3,ETH-ETHs028037-000001,HE BH-3,4.38925,41.887092,190,active,5/5/2013,no,Bekele Tadesse,3/10/2019,no,20.67,5.75,electrical_pump,No 78195512 Model  C SN 00010973 PC P21447,17.6,7.5,generator,,35,6,pvc,,,,fractured_rock,26.8,,,,,,14,,,7,,,,,,,,,,,,,,
ETH,Ethiopia,ETHs004109,Helaweyn,Heleweyen BH-4,ETH-ETHs004109-000002,HE-BH-4,4.388772,41.887083,190,active,28/10/2011,no,Bekele Tadesse,21/11/2019,no,20.67,5.75,electrical_pump,,17.6,7.5,generator,,65,6,pvc,,,,fractured_rock,26.8,,,,,,14,,,,,,,,,,,,,,,,,
ETH,Ethiopia,ETHs004634,Hitsats,BH#3,ETH-ETHs004634-001,BH#3,14.11882,37.985094,1060,active,6/5/2014,no,Ryan Schweitzer WASH Officer using data from IRC,16/12/2020,no,97,4.5,electrical_pump,NA,87,,generator,,,6,pvc,,,,fractured_rock,5.4,52.5,,,,,1.5,,,,,,,,,,,,,,,,,(Attachments: Zaatari-BH1-Well-completion report-2012.pdf)
ETH,Ethiopia,ETHs004634,Hitsats,BH#2,ETH-ETHs004634-002,BH#2,14.119798,38.073049,1065,active,27/05/2014,no,Ryan Schweitzer WASH Officer using data from IRC,16/12/2020,no,82,7.1,electrical_pump,NA,74,,generator,,,6,pvc,,,,fractured_rock,14.4,30.38,,,,,4,,,,,,,,,,,,,,,,,
ETH,Ethiopia,ETHs004634,Hitsats,BH#1,ETH-ETHs004634-003,BH#1,14.134915,37.929522,1035,active,20/11/2013,no,Ryan Schweitzer WASH Officer using data from IRC,16/12/2020,no,115,11,electrical_pump,Dynatech/DT13-30,84,15,generator,,,6,pvc,,,,fractured_rock,8.28,73,,,,,2.3,,,,,,,,,,,,,,,,,
ETH,Ethiopia,ETHs004634,Hitsats,SBH#1,ETH-ETHs004634-004,SBH#1,14.103846,37.959141,1074,active,,yes,Ryan Schweitzer WASH Officer using data from IRC,16/12/2020,no,39,7,electrical_pump,GRUNDFORS/SPQA-50,36,5.5,generator,,,4,pvc,,,,fractured_rock,7.2,28,,,,,2,,,,,,,,,,,,,,,,,
ETH,Ethiopia,ETHs004634,Hitsats,BH#4,ETH-ETHs004634-000005,BH#4,14.131828,38.004056,1058,active,28/08/2018,no,Ryan Schweitzer WASH Officer using data from IRC,16/12/2020,no,110,4.6,electrical_pump,E-Tech submersible pump,91,7.5,generator,,,6,pvc,,,,fractured_rock,4.07,33.85,,,,,8,,,,,,,,,,,,,,,,,
ETH,Ethiopia,ETHs004634,Hitsats,BH#5,ETH-ETHs004634-000006,BH#5,14.124561,37.995722,1058,active,28/08/2018,no,Ryan Schweitzer WASH Officer using data from IRC,16/12/2020,no,120,6.67,electrical_pump,E-Tech submersible pump,110,9.3,generator,,,6,pvc,,,,fractured_rock,14.4,86.77,,,,,8,,,,,,,,,,,,,,,,,
ETH,Ethiopia,,Itang(Tierkidi & Kule),It-BH6,ETH--001,It-BH6,8.184146,34.26041966,433.7,active,25/07/2014,,Ryan Schweitzer WASH Officer; data from Andrew N,21/12/2020,no,60,5,electrical_pump,Submersible,41,11,generator,,,6,pvc,,,,,12,13.5,,,,,7,9/8/2014,123,6.18,0.365,0.16,,0.53,0.1,,,,,,,,,
ETH,Ethiopia,,Itang(Tierkidi & Kule),It-BH5,ETH--002,Unknown,8.18503,34.26093072,426.7,active,20/07/2014,,Ryan Schweitzer WASH Officer; data from Andrew N,21/12/2020,no,48.5,4,electrical_pump,,40,,generator,,,6,pvc,,,,,43.2,13.88,,,,,7,9/8/2014,143,6.41,,0.11,,0.63,0.66,,,,,,,,,
ETH,Ethiopia,,Itang(Tierkidi & Kule),It-BH4,ETH--003,Unknown,8.185941,34.26190477,427.7,active,21/07/2014,,Ryan Schweitzer WASH Officer; data from Andrew N,21/12/2020,no,49.5,4,electrical_pump,,41,,generator,,,6,pvc,,,,,39.6,19.05,,,,,8.58,31/08/2014,136,6.6,,0.12,,0.57,0.48,,,,,,,,,
ETH,Ethiopia,,Itang(Tierkidi & Kule),BoreHole 1 (BH02),ETH--004,Unknown,8.18443333,34.2592,442,inactive,30/05/2015,,,,no,39,7,,,,,,,,6,pvc,,,,,46.8,,,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,,Itang(Tierkidi & Kule),BoreHole 1 (BH03),ETH--005,Unknown,8.18448333,34.25941667,422,inactive,6/12/2015,,,,no,45,7,,,,,,,,6,pvc,,,,,46.8,,,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,,Itang(Tierkidi & Kule),BoreHole 1 (BH01),ETH--006,Unknown,8.28550833,34.25171944,423,inactive,30/07/2015,,,,no,57.4,4.7,,,,,,,,6,pvc,,,,,18,,,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,,Itang(Tierkidi & Kule),It-BH3,ETH--007,Unknown,8.187166,34.26328827,427.9,active,24/07/2014,,Ryan Schweitzer WASH Officer; data from Andrew N,21/12/2020,no,50,5,electrical_pump,Submersible-Grundfos,41,15,generator,Perkins,88,6,pvc,,,,,43.2,11.03,,,,,11.13,29/08/2014,114,6.5,,0.17,,0.52,0.78,,,,,,,,,
ETH,Ethiopia,,Itang(Tierkidi & Kule),It-BH2,ETH--008,Unknown,8.187787,34.26435218,428.1,active,16/07/2014,,Ryan Schweitzer WASH Officer; data from Andrew N,21/12/2020,no,55,4.5,electrical_pump,Submersible- Grundfos,46,15,generator,Perkins,80,6,pvc,,,,,39.6,19.58,,,,,11.74,27/08/2014,133,6.7,,0.11,,0.57,0.03,,,,,,,,,
ETH,Ethiopia,,Itang(Tierkidi & Kule),It-BH1,ETH--009,Unknown,8.188444,34.26539805,428.6,active,15/07/2014,,Ryan Schweitzer WASH Officer; data from Andrew N,21/12/2020,no,59.8,4.5,electrical_pump,Submersible-Franklin,51,15,generator,Perkins,88,6,pvc,,,,,43.2,10.72,,,,,13.48,25/08/2014,172,6.14,6.57,0.23,,0.49,1.14,0.01,,,,,,,,
ETH,Ethiopia,,Jerer Valley,NBH2,ETH--011,Unknown,9,43,1465,active,1/1/2000,,,,no,208,89,electrical_pump,SP17-15,185,15,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connected to the system
ETH,Ethiopia,,Jerer Valley,NBH3,ETH--010,Unknown,9.01996667,43.0071945,1452,active,1/1/2004,,,,no,195,88,electrical_pump,SP17-12,185,,,,,8,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,Not functional
ETH,Ethiopia,,Jerer Valley,NBH1,ETH--012,Unknown,9,43.025,1465,active,1/1/2000,,,,no,222.18,71.9,electrical_pump,SP17-15,185,13,,,,6,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,Not functional
ETH,Ethiopia,,Kebribeyah,EB1,ETH--000019,EB1,9.003297,43.017875,1415,active,,yes,Muluneh,16/10/2016,no,130,,electrical_pump,,,,grid_generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,,Kebribeyah,PB2,ETH--000020,PB2,9.013681,43.029281,1416,active,,yes,Muluneh,16/10/2016,no,141,,electrical_pump,,,,grid_generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,,Kebribeyah,PB3,ETH--000021,PB3,9.019983,43.007064,1419,inactive,,yes,Muluneh,16/10/2016,no,185,,electrical_pump,,,,grid_generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,,Kebribeyah,UNB1,ETH--000022,UNB1,9.031742,43.006508,1432,active,,yes,Muluneh,16/10/2016,no,,,electrical_pump,,,,generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,,Kebribeyah,UNB2,ETH--000023,UNB2,9.037561,43.009978,1440,active,,yes,Muluneh,16/10/2016,no,,,electrical_pump,,,,generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
