Iso3,Country,Site ID,Site name,Borehole name,Automatic Borehole ID,Local Borehole ID,Latitude,Longitude,Elevation in meters above sea level,Status,Drilling date,Unknown drilling date,Last editor,Date of update,Hidden borehole,Depth in m,Static water level in meters below ground level,Type of pump,Pump brand and model,Pump depth in m,Pump motor power in kilowatt,Energy source,Generator brand and model,Generator capacity in kilovolt-ampere (kVA),Casing diameter in inch,Casing material,Screened areas in m,Sum of screened areas in m,End of casing/start of open hole in m,Aquifer type,Driller's yield in m3/hr,Dynamic Water Level at driller's yield in m,Pumping tests (DWL [m] - yield [m3/hr]),Pumping test quality control evaluation from solar tool (read only),Safe yield from solar tool in m3/hr (read only),Transmissivity from constant rate pumping test in m2/sec,Daily pumping time in h,Date of last water quality control,Conductivity in micro S/cm (microsiemen/cm),pH,Turbidity in NTU,Ammonia concentration in mg/L,Arsenic concentration in micro g/L,Fluoride concentration in mg/L,Nitrate concentration in mg/L,Nitrite concentration in mg/L,E-Coli,Solar potential in % (read only),Investment cost estimation in $ (read only),Maintenance cost estimation (read only),Solar gross payback in years (read only),Amount of CO2 avoided in tonnes/year (read only),Attachment description,Comments
KEN,Kenya,,Abakailey ,Abakailey,KEN--001,Unknown,0.07838889,40.09625,180,active,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,Kenya,,Abakoley,Abakoley,KEN--002,Unknown,0.63008333,39.70819444,,active,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,Kenya,,Abakoley,Meri,KEN--003,Unknown,0.49511111,39.84661111,180,active,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,Kenya,,Arba Jahan,Arba Jahan,KEN--004,Unknown,2.07072222,39.00327778,360,active,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,Kenya,,Athibohol,Athibohol,KEN--005,Unknown,1.70675,39.21383333,330,active,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,Kenya,,Banane,Biamadhow,KEN--006,Unknown,0.61713889,40.41516667,120,active,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,Kenya,,Baraki,Baraki,KEN--007,Unknown,0.65672222,39.57961111,180,active,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,Kenya,KENs990203,Daadab ,Daadab,KEN-KENs990203-001,Unknown,0.05761111,40.30802778,120,active,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,Kenya,,Dadajibula,Dadajibula,KEN--008,Unknown,0.54025,40.87322222,90,active,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,Kenya,KENs001088,Dagahaley,DAG BH 4,KEN-KENs001088-001,Unknown,0.190556,40.277361,127,active,12/10/2009,no,Ellen Milnes,19/10/2019,no,171,112.98,electrical_pump,Grundfos SP30-21,146.2,18.5,generator,,,7.87,pvc,"78.0-132, 153-165",66,,porous,36,,,,,,12,26/10/2009,706,7.31,2.5,0,,0.75,0.1,0.02,,,,,,,Borehole completion report,
KEN,Kenya,KENs001088,Dagahaley,DAG BH 9,KEN-KENs001088-002,Unknown,0.1775,40.279444,125,active,18/09/2011,no,"Ellen Milnes, HQ hydrogeologist",19/10/2019,no,196,112.12,electrical_pump,Grundfos SP46-20,170,30,grid_generator,,,7.87,pvc,"84.0-96, 99-121, 127-142, 148-157, 163-169, 172-178",70,,porous,50,,,,,,10,28/10/2011,981,7.51,2.5,0,,0.34,1.3,0.01,,,,,,,,
KEN,Kenya,KENs001088,Dagahaley,DAG BH 6,KEN-KENs001088-003,Unknown,0.1925,40.283611,125,active,6/11/2010,no,Ellen Milnes,19/10/2019,no,180,113.24,electrical_pump,Grundfos SP46-20,158.2,30,grid_generator,,,7.87,pvc,"102.0-111, 117-132, 138-153, 159-174",54,,porous,47,,,,,,9,19/11/2010,184,7.46,2.5,0,,0.36,0.2,0.01,,,,,,,Borehole completion report,
KEN,Kenya,KENs001088,Dagahaley,DAG BH 8,KEN-KENs001088-004,Unknown,0.20166667,40.2875,124,active,10/10/2013,,,,no,175,112,electrical_pump,Grundfos SP46-20,156,30,generator,,,7.87,pvc,91.0-151.0,60,,porous,50,,,,,,9,,823,7.3,2.5,0,,0.4,0.4,0.01,,,,,,,,
KEN,Kenya,KENs001088,Dagahaley,DAG BH 3,KEN-KENs001088-005,Unknown,0.1875,40.300833,124,active,5/9/2011,no,"Ellen Milnes, HQ hydrogeologist",19/10/2019,no,183,110.35,electrical_pump,Grundfos SP46-20,170,30,generator,,,7.87,pvc,"102.0-111, 114-129, 135-156, 162-168, 174-177",54,,porous,50,,,,,,10.7,25/10/2011,756,7.66,2.5,0,,0.4,1.3,0.01,,,,,,,Borehole completion report,
KEN,Kenya,KENs001088,Dagahaley,DAG BH 2,KEN-KENs001088-006,Unknown,0.192778,40.281389,125,active,22/08/2011,no,Ellen Milnes,19/10/2019,no,204,113.5,electrical_pump,Grundfos SP30-21,164,18.5,generator,,,7.87,pvc,"105.0-114, 117-129, 132-153, 159-168, 174-177",54,,porous,37,,,,,,7.8,18/10/2011,799,7.45,2.5,0,,0.27,1.5,0.01,,,,,,,Borehole completion report,Local community BH
KEN,Kenya,KENs001088,Dagahaley,DAG BH 1,KEN-KENs001088-007,Unknown,0.187778,40.286389,126,active,3/11/2010,no,Ellen Milnes,19/10/2019,no,180,113.24,electrical_pump,Grundfos SP46-20,157,30,generator,,,7.87,pvc,"102.0-114,120-132, 138-153, 159-174",54,,porous,55,,,,,,9,22/11/2010,747,7.36,2.5,0,,0.4,0.17,0.01,,,,,,,Borehole completion report,
KEN,Kenya,,Damajale,Damajale,KEN--009,Unknown,0.10619444,40.78388889,120,active,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,Kenya,,Deru,Dertu,KEN--010,Unknown,0.27797222,39.80169444,150,active,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
