Iso3,Country,Site ID,Site name,Borehole name,Automatic Borehole ID,Local Borehole ID,Latitude,Longitude,Elevation in meters above sea level,Status,Drilling date,Unknown drilling date,Last editor,Date of update,Hidden borehole,Depth in m,Static water level in meters below ground level,Type of pump,Pump brand and model,Pump depth in m,Pump motor power in kilowatt,Energy source,Generator brand and model,Generator capacity in kilovolt-ampere (kVA),Casing diameter in inch,Casing material,Screened areas in m,Sum of screened areas in m,End of casing/start of open hole in m,Aquifer type,Driller's yield in m3/hr,Dynamic Water Level at driller's yield in m,Pumping tests (DWL [m] - yield [m3/hr]),Pumping test quality control evaluation from solar tool (read only),Safe yield from solar tool in m3/hr (read only),Transmissivity from constant rate pumping test in m2/sec,Daily pumping time in h,Date of last water quality control,Conductivity in micro S/cm (microsiemen/cm),pH,Turbidity in NTU,Ammonia concentration in mg/L,Arsenic concentration in micro g/L,Fluoride concentration in mg/L,Nitrate concentration in mg/L,Nitrite concentration in mg/L,E-Coli,Solar potential in % (read only),Investment cost estimation in $ (read only),Maintenance cost estimation (read only),Solar gross payback in years (read only),Amount of CO2 avoided in tonnes/year (read only),Attachment description,Comments
MWI,Malawi,MWIs001117,Dzaleka,Katubza No 2,MWI-MWIs001117-000001,Unkown,-13.6587,33.871,1464,active,,yes,Syson Siima,18/02/2020,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,28/01/2020,342.8,6.56,4,0.05,,,,,0 to 10,,,,,,,
MWI,Malawi,MWIs001117,Dzaleka,Katubza No 3,MWI-MWIs001117-000002,Unkown,-13.6571,33.8715,1459,active,,yes,Syson Siima,18/02/2020,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,3/9/2020,886.9,8.5,5,0.05,,,,,0 to 10,,,,,,,
MWI,Malawi,MWIs001117,Dzaleka,Katubza No 4,MWI-MWIs001117-000003,Unkown,-13.6569,33.8726,1458,active,,yes,Syson Siima,18/02/2020,no,42.8,17,hand_pump,,40,,,,,4,pvc,,,,,1.8,23.11,,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,MWIs001117,Dzaleka,Katubza No 5,MWI-MWIs001117-000004,Unkown,-13.6554,33.871,1456,active,,yes,Syson Siima,18/02/2020,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,3/9/2020,98.4,7.81,4,0.05,,,,,0 to 10,,,,,,,
MWI,Malawi,MWIs001117,Dzaleka,Katubza No 7,MWI-MWIs001117-000005,Unkown,-13.6556,33.8735,1451,active,,yes,Syson Siima,18/02/2020,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,3/9/2020,107,7.71,4,0.1,,,,,absent,,,,,,,
MWI,Malawi,MWIs001117,Dzaleka,Katubza No 9,MWI-MWIs001117-000006,Unkown,-13.6538,33.8754,1446,active,,yes,Syson Siima,18/02/2020,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,MWIs001117,Dzaleka,Katubza No 8,MWI-MWIs001117-000007,Unkown,-13.6526,33.8745,1451,active,,yes,Syson Siima,18/02/2020,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,12/6/2020,72,7.37,5,0.05,,,,,0 to 10,,,,,,,
MWI,Malawi,MWIs001117,Dzaleka,Katubza No 6,MWI-MWIs001117-000008,Unkown,-13.6538,33.8719,1459,active,,yes,Syson Siima,18/02/2020,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,MWIs001117,Dzaleka,Katubza No 1,MWI-MWIs001117-000009,Unkown,-13.6591,33.8688,1464,active,,yes,Syson Siima,18/02/2020,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,MWIs001117,Dzaleka,Katubza No 10,MWI-MWIs001117-000010,Unkown,-13.6526,33.8744,1471,active,,yes,Syson Siima,18/02/2020,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,MWIs001117,Dzaleka,Katubza N0. 11,MWI-MWIs001117-000011,Unkown,-13.6534,33.8701,1445,active,,yes,Syson Siima,18/02/2020,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
