Iso3,Country,Site ID,Site name,Borehole name,Automatic Borehole ID,Local Borehole ID,Latitude,Longitude,Elevation in meters above sea level,Status,Drilling date,Unknown drilling date,Last editor,Date of update,Hidden borehole,Depth in m,Static water level in meters below ground level,Type of pump,Pump brand and model,Pump depth in m,Pump motor power in kilowatt,Energy source,Generator brand and model,Generator capacity in kilovolt-ampere (kVA),Casing diameter in inch,Casing material,Screened areas in m,Sum of screened areas in m,End of casing/start of open hole in m,Aquifer type,Driller's yield in m3/hr,Dynamic Water Level at driller's yield in m,Pumping tests (DWL [m] - yield [m3/hr]),Pumping test quality control evaluation from solar tool (read only),Safe yield from solar tool in m3/hr (read only),Transmissivity from constant rate pumping test in m2/sec,Daily pumping time in h,Date of last water quality control,Conductivity in micro S/cm (microsiemen/cm),pH,Turbidity in NTU,Ammonia concentration in mg/L,Arsenic concentration in micro g/L,Fluoride concentration in mg/L,Nitrate concentration in mg/L,Nitrite concentration in mg/L,E-Coli,Solar potential in % (read only),Investment cost estimation in $ (read only),Maintenance cost estimation (read only),Solar gross payback in years (read only),Amount of CO2 avoided in tonnes/year (read only),Attachment description,Comments
MLI,Mali,MLIs003322,Anderamboukane,BOKABELLA,MLI-MLIs003322-000002,MNK 01,15.410944,3.026306,,active,22/05/2020,no,Bernadette KAWERA/ WASH Officer,19/11/2020,no,,,electrical_pump,,,,solar,,,,,,,,,,,"1.02-5.10,3.10-10.20,4.07-15.40",,,,,24/05/2020,356,6.65,0.07,,,0.07,21.56,,,,,,,,,
MLI,Mali,MLIs001121,Gao - Amassaracade,,MLI-MLIs001121-001,Unknown,16.21716667,-0.28947222,,active,15/10/2015,,,,no,95,0,,,0,,,N/A,,5,pvc,,,,fractured_rock,0,,,,,,,,,,,,,,,,,,,,,,,Construction UNHCR(Forage negatif)
MLI,Mali,MLIs001121,Gao - Tassounfate,,MLI-MLIs001121-002,Unknown,16.33205556,-0.86972222,,active,23/11/2015,,,,no,90,51.43,hand_pump,PMH India,70,,,N/A,,5,pvc,64.0-87.0,23,,fractured_rock,1.2,,,,,,12,11/12/2015,1158,8.26,25,,,0.02,17.68,,,,,,,,,Construction UNHCR
MLI,Mali,MLIs001121,Gao - Tilatane,,MLI-MLIs001121-003,Unknown,16.21222222,-0.51222222,,active,15/10/2015,,,,no,75,53.73,hand_pump,PMH India,62,,,N/A,,5,pvc,60.0-75.0,15,,fractured_rock,1.5,,,,,,12,12/2/2015,650,7.31,2,,,0,1.34,,,,,,,,,Rehabilitation UNHCR
MLI,Mali,MLIs001121,Gao - Tinadjarof,,MLI-MLIs001121-004,Unknown,16.18194444,-0.61,,active,15/10/2015,,,,no,96,44.7,hand_pump,PMH India,60,,,N/A,,5,pvc,70.0-83.0,13,,fractured_rock,1.8,,,,,,8,11/8/2015,991,7.77,4,,,0,5.3,,,,,,,,,Rehabilitation UNHCR
MLI,Mali,MLIs001121,Gao - Tindjarane,,MLI-MLIs001121-005,Unknown,15.39761111,-0.53422222,,active,15/12/2015,,,,no,85,65,hand_pump,PMH India,72,,,N/A,,5,pvc,70.0-85.0,15,,fractured_rock,4.8,,,,,,12,,606,7.69,5,,,1.49,15.49,,,,,,,,,Construction UNHCR
MLI,Mali,MLIs001121,Gao - Tinikene,,MLI-MLIs001121-006,Unknown,15.50700833,-3.01728056,,active,5/11/2014,,,,no,88.4,,hand_pump,PMH India,,,,N/A,,5,pvc,,,,fractured_rock,12,,,,,,,,,,,,,,,,,,,,,,,Construction UNHCR
MLI,Mali,MLIs001121,Gao - Tintinboraguen,,MLI-MLIs001121-007,Unknown,16.18527778,-0.435,,active,15/10/2015,,,,no,73.55,56.43,hand_pump,PMH India,60,,,N/A,,5,pvc,23.0-35.0,12,,fractured_rock,6.55,,,,,,5,12/3/2015,570,8.13,3,,,0.35,1.57,,,,,,,,,Rehabilitation UNHCR
MLI,Mali,MLIs001121,Gao - Touhoye,,MLI-MLIs001121-008,Unknown,15.67832222,-2.96059722,,active,5/11/2014,,,,no,83.9,55,hand_pump,PMH India,,,,N/A,,5,pvc,,,,fractured_rock,1.4,,,,,,,,,,,,,,,,,,,,,,,Construction UNHCR
MLI,Mali,MLIs001123,Kayes - Dindinaye/Ergui,,MLI-MLIs001123-001,Unknown,16.75286111,-3.39888889,,active,12/7/2013,,,,no,100,12,hand_pump,PMH India,45,,,N/A,,5,pvc,68.16-97.46,29.3,,fractured_rock,1,,,,,,6,12/2/2013,431,7.46,,,,,,,,,,,,,,Construction UNHCR
MLI,Mali,MLIs001123,Kayes - Fodemanan,,MLI-MLIs001123-002,Unknown,17.03719444,-3.67083333,,inactive,12/4/2015,,,,no,100,0,,N/A,,,,N/A,,5,pvc,,,,fractured_rock,0,,,,,,,,,,,,,,,,,,,,,,,Construction UNHCR(Forage negatif)
