Iso3,Country,Site ID,Site name,Borehole name,Automatic Borehole ID,Local Borehole ID,Latitude,Longitude,Elevation in meters above sea level,Status,Drilling date,Unknown drilling date,Last editor,Date of update,Hidden borehole,Depth in m,Static water level in meters below ground level,Type of pump,Pump brand and model,Pump depth in m,Pump motor power in kilowatt,Energy source,Generator brand and model,Generator capacity in kilovolt-ampere (kVA),Casing diameter in inch,Casing material,Screened areas in m,Sum of screened areas in m,End of casing/start of open hole in m,Aquifer type,Driller's yield in m3/hr,Dynamic Water Level at driller's yield in m,Pumping tests (DWL [m] - yield [m3/hr]),Pumping test quality control evaluation from solar tool (read only),Safe yield from solar tool in m3/hr (read only),Transmissivity from constant rate pumping test in m2/sec,Daily pumping time in h,Date of last water quality control,Conductivity in micro S/cm (microsiemen/cm),pH,Turbidity in NTU,Ammonia concentration in mg/L,Arsenic concentration in micro g/L,Fluoride concentration in mg/L,Nitrate concentration in mg/L,Nitrite concentration in mg/L,E-Coli,Solar potential in % (read only),Investment cost estimation in $ (read only),Maintenance cost estimation (read only),Solar gross payback in years (read only),Amount of CO2 avoided in tonnes/year (read only),Attachment description,Comments
NER,Niger,NERs001259,Abala,QRC1,NER-NERs001259-001,Unknown,14.90133333,3.42122222,238,active,1/1/2013,,,,no,207,,electrical_pump,"Grundfos, SQFlex",,1.5,solar,,,5,pvc,,,,porous,5,,,,,,5,4/4/2013,,7.34,,,,1.74,4.9,0.03,,,,,,,,Screen Type: PVC.
NER,Niger,NERs001259,Abala,QRC2,NER-NERs001259-002,Unknown,14.91808333,3.42127778,234,active,1/1/2015,,,,no,174,,electrical_pump,"Grundfos, SQFlex",,1.05,solar,,,5,pvc,,,,porous,5,,,,,,5,23/06/2015,,7.35,2.37,,,1.8,6.16,0.281,,,,,,,,Screen Type: PVC. Screen length: 25m.
NER,Niger,NERs001259,Abala,UNHCR-ACTED,NER-NERs001259-003,Unknown,14.93861111,3.43305556,233,active,6/12/2012,,,,no,165,33.6,electrical_pump,"Grundfos, SP14A25",70,7.5,solar_generator,,,5,pvc,"52.0-60.91, 87.7-129.22, 141.01-158.8",68.22,,porous,15.6,,,,,,8,23/06/2015,,7.59,1.62,,,2.06,3.08,0.0363,,,,,,,,Screen Type: PVC. Screen length: 68m.
NER,Niger,,Bibibyergou,PLAN02(hors camp),NER--001,Unknown,14.43440278,1.22030556,,inactive,1/1/2013,,,,no,70,,hand_pump,Vergnet PHV60,,,,,,4,pvc,,,,fractured_rock,0.4,,,,,,24,,,,,,,,,,,,,,,,,Non operationnel. Screen Type: PVC.
NER,Niger,,Dagne,PLAN03(hors camp),NER--002,Unknown,14.72344444,1.33444444,,inactive,1/1/2013,,,,no,70,,hand_pump,Vergnet PHV60,,,,,,4,pvc,,,,fractured_rock,0.4,,,,,,24,,,,,,,,,,,,,,,,,Screen Type: PVC
NER,Niger,NERs009387,Goudoumaria,UNHCR-DRH/A,NER-NERs009387-001,Unknown,13.74577778,11.18958333,337,active,9/3/2015,,,,no,63,5.81,electrical_pump,"Grundfos, SP30A08",61,7.5,generator,,,8,pvc,,,,porous,7.5,,,,,,5,,,,,,,,,,,,,,,,,Screen Type: PVC.
NER,Niger,NERs009392,Intikane,EUKINAWANE,NER--003,Unknown,15.72222222,4.50277778,325,active,1/1/1963,,,,no,722.84,38,electrical_pump,"Grundfos, SP46A10",73.2,15,solar_generator,,,8,pvc,683.51-716.09,32.58,,porous,50,,,,,,10,23/06/2015,,7.1,,,,,9.48,0.121,,,,,,,,Screen Type: PVC. Screen length: 32.58m.
NER,Niger,NERs009368,Kablewa,KABLEWA,NER-NERs009368-001,Unknown,13.98047222,12.98069444,277,active,1/1/1963,,,,no,,,electrical_pump,"Grundfos, SP30A12",10,11,,,,,steel,,,,porous,,,,,,,8,,,,,,,,,,,,,,,,,Screen Type: PVC
NER,Niger,,Kaguira,PLAN04(hors camp),NER--004,Unknown,14.409,1.24275,,inactive,1/1/2013,,,,no,80,,hand_pump,Vergnet PHV60,,,,,,4,pvc,,,,fractured_rock,0.4,,,,,,24,,,,,,,,,,,,,,,,,Screen Type: PVC
NER,Niger,NERs004228,Mangaize,QRC3,NER-NERs004228-001,Unknown,14.67666667,1.954879,242,active,12/2/2012,,,,no,51.8,13,electrical_pump,"Grundfos, SQFlex",,1.5,solar,,,5,pvc,30.74-48.35,17.61,,porous,5.5,,,,,,5,12/4/2012,,6.6,,,,0.45,4.4,0.006,,,,,,,,Screen Type: PVC. Screen length: 17.61m.
