Iso3,Country,Site ID,Site name,Borehole name,Automatic Borehole ID,Local Borehole ID,Latitude,Longitude,Elevation in meters above sea level,Status,Drilling date,Unknown drilling date,Last editor,Date of update,Hidden borehole,Depth in m,Static water level in meters below ground level,Type of pump,Pump brand and model,Pump depth in m,Pump motor power in kilowatt,Energy source,Generator brand and model,Generator capacity in kilovolt-ampere (kVA),Casing diameter in inch,Casing material,Screened areas in m,Sum of screened areas in m,End of casing/start of open hole in m,Aquifer type,Driller's yield in m3/hr,Dynamic Water Level at driller's yield in m,Pumping tests (DWL [m] - yield [m3/hr]),Pumping test quality control evaluation from solar tool (read only),Safe yield from solar tool in m3/hr (read only),Transmissivity from constant rate pumping test in m2/sec,Daily pumping time in h,Date of last water quality control,Conductivity in micro S/cm (microsiemen/cm),pH,Turbidity in NTU,Ammonia concentration in mg/L,Arsenic concentration in micro g/L,Fluoride concentration in mg/L,Nitrate concentration in mg/L,Nitrite concentration in mg/L,E-Coli,Solar potential in % (read only),Investment cost estimation in $ (read only),Maintenance cost estimation (read only),Solar gross payback in years (read only),Amount of CO2 avoided in tonnes/year (read only),Attachment description,Comments
COG,Republic of the Congo,COGs031854,15 Avril,P1S9B7,COG-COGs031854-000001,P1S9B7,3.05725,18.5035,336,active,,,sani,7/6/2019,no,7,4.65,hand_pump,India Mark III,,,,,,,,,,,,,,,,,,,7/6/2019,,6.8,5,,,,,,,,,,,,,
COG,Republic of the Congo,COGs031854,15 Avril,P3B4S1,COG-COGs031854-000002,P3B4S1,3.058722,18.5065,344,active,25/10/2010,,sani,7/6/2019,no,8.7,5.3,hand_pump,Vergnet,8.2,,,,,,,,,,,,,,,,,,7/6/2019,95.5,5.3,5,,,,,,,,,,,,,Open wells of 1 meter diameter equipped with hand pump
COG,Republic of the Congo,COGs031854,15 Avril,P12S6B2,COG-COGs031854-000003,P12S6B2,3.056861,18.503556,342,inactive,31/08/2011,,sani,7/6/2019,no,8.65,6.7,hand_pump,India Mark III,8.2,,,,,,,,,,,,,,,,,,7/6/2019,26.6,5.15,10,,,,,,,,,,,,,Open wells of 1 meter diameter
COG,Republic of the Congo,COGs031854,15 Avril,P1S7B1,COG-COGs031854-000004,P1S7B1,3.056528,18.503639,347,active,19/06/2011,,sani,7/6/2019,no,8.1,6.23,hand_pump,Vergnet,7.1,,,,,,,,,,,,,,,,,,7/6/2019,57.3,6.8,5,,,,,,,,,,,,,Open wells of 1 meter diameter with hand pump
COG,Republic of the Congo,COGs031854,15 Avril,P8B4S5,COG-COGs031854-000005,P8B4S5,3.057361,18.504417,348,inactive,20/07/2010,,sani,7/6/2019,no,7.35,5.6,hand_pump,India Mark III,6.85,,,,,,,,,,,,,,,,,,7/6/2019,31.8,4.61,5,,,,,,,,,,,,,Open well of 1 meter diameter equipped with hand pump
COG,Republic of the Congo,COGs031854,15 Avril,P9B3S5,COG-COGs031854-000006,P9B3S5,3.057806,18.504361,345,inactive,21/06/2010,,sani,7/6/2019,no,8.15,6.85,hand_pump,India Mark III,7.85,,,,,,,,,,,,,,,,,,7/6/2019,56.5,5.6,5,,,,,,,,,,,,,Open well equipped with hand pump
COG,Republic of the Congo,COGs031854,15 Avril,P7B5S3,COG-COGs031854-000007,P7B5S3,3.058861,18.505333,343,active,28/11/2016,,sani,7/6/2019,no,8.85,6.55,hand_pump,Vergnet,8.35,,,,,,,,,,,,,,,,,,7/6/2019,83.2,5.36,5,,,,,,,,,,,,,Open well of 1 meter diameter equipped with hand pump
COG,Republic of the Congo,COGs031854,15 Avril,P5B1S3,COG-COGs031854-000008,P5B1S3,3.057722,18.505528,339,active,25/04/2011,,sani,22/06/2019,no,8.5,7.23,hand_pump,India Mark III,8,,,,,,,,,,,,,,,,,,22/06/2019,49.5,4.61,5,,,,,,,,,,,,,Open well of 1 meter diameter equipped with hand pump
COG,Republic of the Congo,COGs031854,15 Avril,P1B1S1,COG-COGs031854-000009,P1B1S1,3.057556,18.506694,339,active,,,sani,23/06/2019,no,8,6.4,hand_pump,India Mark III,7.5,,,,,,,,,,,,,,,,,,23/06/2019,83.6,4.9,5,,,,,,,,,,,,,Open wells of 1 meter diameter equipped with hand pump
COG,Republic of the Congo,COGs031854,15 Avril,P2B3S1,COG-COGs031854-000010,P2B3S1,3.058333,18.506583,338,active,22/06/2010,,sani,24/06/2019,no,8.25,6.4,hand_pump,Vergnet,7.75,,,,,,,,,,,,,,,,,,24/06/2019,95.5,5.3,5,,,,,,,,,,,,,Open wells of 0.8 meter diameter equipped with hand pump
COG,Republic of the Congo,COGs031854,15 Avril,P4B6S1,COG-COGs031854-000011,P4B6S1,3.059278,18.506306,338,inactive,21/06/2010,,sani,25/06/2019,no,8.3,6.8,hand_pump,India Mark III,7.3,,,,,,,,,,,,,,,,,,25/06/2019,26.4,5.14,10,,,,,,,,,,,,,Open well of 1 meter diameter
COG,Republic of the Congo,COGs031854,15 Avril,P16B1S8,COG-COGs031854-000012,P16B1S8,3.060389,18.506611,337,active,23/11/2015,,sani,8/7/2019,no,7.9,4.45,hand_pump,India Mark III,7.4,,,,,,,,,,,,,,,,,,8/7/2019,26.4,5.14,5,,,,,,,,,,,,,Open well of 1 meter diameter equipped with hand pump
COG,Republic of the Congo,COGs031854,15 Avril,P17B3S8,COG-COGs031854-000013,P17B3S8,3.059833,18.507583,336,active,20/09/2015,,sani,9/7/2019,no,9.35,7.53,hand_pump,India Mark III,8.85,,,,,,,,,,,,,,,,,,9/7/2019,32,5.42,5,,,,,,,,,,,,,Open well of 1 meter diameter equipped with hand pump
COG,Republic of the Congo,COGs031854,15 Avril,P14B1S8,COG-COGs031854-000014,P14B1S8,3.059167,18.507278,337,active,18/12/2011,,sani,10/7/2019,no,9.13,7.1,hand_pump,India Mark III,8.63,,,,,,,,,,,,,,,,,,10/7/2019,49.8,5,5,,,,,,,,,,,,,Open well of 1 meter diameter equipped with hand pump
COG,Republic of the Congo,COGs031854,15 Avril,P18B7S8,COG-COGs031854-000015,P18B7S8,3.058472,18.508111,336,active,28/07/2015,,sani,11/7/2019,no,8.1,5.62,hand_pump,India Mark III,7.6,,,,,,,,,,,,,,,,,,11/7/2019,29.3,5.44,5,,,,,,,,,,,,,Open well of 1 meter diameter equipped with hand pump
