Iso3,Country,Site ID,Site name,Borehole name,Automatic Borehole ID,Local Borehole ID,Latitude,Longitude,Elevation in meters above sea level,Status,Drilling date,Unknown drilling date,Last editor,Date of update,Hidden borehole,Depth in m,Static water level in meters below ground level,Type of pump,Pump brand and model,Pump depth in m,Pump motor power in kilowatt,Energy source,Generator brand and model,Generator capacity in kilovolt-ampere (kVA),Casing diameter in inch,Casing material,Screened areas in m,Sum of screened areas in m,End of casing/start of open hole in m,Aquifer type,Driller's yield in m3/hr,Dynamic Water Level at driller's yield in m,Pumping tests (DWL [m] - yield [m3/hr]),Pumping test quality control evaluation from solar tool (read only),Safe yield from solar tool in m3/hr (read only),Transmissivity from constant rate pumping test in m2/sec,Daily pumping time in h,Date of last water quality control,Conductivity in micro S/cm (microsiemen/cm),pH,Turbidity in NTU,Ammonia concentration in mg/L,Arsenic concentration in micro g/L,Fluoride concentration in mg/L,Nitrate concentration in mg/L,Nitrite concentration in mg/L,E-Coli,Solar potential in % (read only),Investment cost estimation in $ (read only),Maintenance cost estimation (read only),Solar gross payback in years (read only),Amount of CO2 avoided in tonnes/year (read only),Attachment description,Comments
SSD,South Sudan,SSDs005225,Ajuong Thok,Borehole_8,SSD-SSDs005225-001,AJBH_8,9.97213,30.29105,,active,,,Temesgen Endale,30/09/2019,no,78,60,electrical_pump,,,7.5,solar_generator,,,6,pvc,,,,,10,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs005225,Ajuong Thok,Market South BH,SSD-SSDs005225-002,Market S. BH,9.95757,30.27182,,active,,,Temesgen Endale,30/09/2019,no,75,50,electrical_pump,SP9A-25,68,7.5,solar_generator,,,5,pvc,,,,,12,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs005225,Ajuong Thok,Borehole_9,SSD-SSDs005225-003,AJBH_9,9.983,30.277,,active,,,Temesgen Endale,30/09/2019,no,77,46,electrical_pump,SP14-27,71,7.5,solar,,,5,pvc,,,,,16,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs005225,Ajuong Thok,Borehole_10,SSD-SSDs005225-004,AJBH_10,9.975,30.283,,active,,,Temesgen Endale,30/09/2019,no,,50,electrical_pump,SP14-15,69,5.5,solar_generator,,,5,pvc,,,,,10,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs005225,Ajuong Thok,Borehore_1,SSD-SSDs005225-000005,AJBH_1,9.95441,30.27362,,active,,,Temesgen,5/9/2019,no,80,52,electrical_pump,SP5A_24,68,2.2,solar_generator,,,5,pvc,"66.0-72.0, 75.0-78.0",9,,porous,18,,,,,,10,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs005225,Ajuong Thok,Borehole_2,SSD-SSDs005225-000006,AJBH_2,9.96142,30.27595,,active,,,Temesgen Endale,5/9/2019,no,81,52.2,electrical_pump,Grundfos SP24-25,70,7.5,solar_generator,,,5,pvc,"63.0-69.0, 72.0-78.0",12,,,10,,,,,,10,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs005225,Ajuong Thok,Borehole_3,SSD-SSDs005225-000007,AJBH_3,9.97054,30.27813,,active,,,Temesgen Endale,5/9/2019,no,80,51.56,electrical_pump,Groundfos SPA8A-21,69,5.5,solar_generator,,,5,pvc,6.0-69.0,63,,,12,,,,,,10,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs005225,Ajuong Thok,Borehole_4,SSD-SSDs005225-000008,AJBH_4,9.96127,30.28552,,active,,,Temesgen Endale,30/09/2019,no,80,52,electrical_pump,Grondfos SP8A-13,73,7.5,solar_generator,,,5,pvc,64.5-79.5,15,,,10,,,,,,10,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs005225,Ajuong Thok,Borehole_7,SSD-SSDs005225-000009,AJBH_7,9.966,30.296,,active,,,Temesgen Endale,30/09/2019,no,80,63,electrical_pump,SP14-27,75,7.5,solar,,,6,pvc,,,,,18,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs005225,Ajuong Thok,Market North BH,SSD-SSDs005225-000010,Market N. BH,9.96235,30.27141,,active,,,Temesgen Endale,30/09/2019,no,78,48,electrical_pump,SP14-27,69,7.5,solar,,,5,pvc,,,,,15,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs005225,Ajuong Thok,Borehole_6,SSD-SSDs005225-000011,AJBH_6,9.958,30.296,,active,,,Temesgen Endale,30/09/2019,no,,49,electrical_pump,,76,5.5,solar,,,6,pvc,,,,,7,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs005225,Ajuong Thok,Block_12 HP,SSD-SSDs005225-000012,AJBlock_12 HP,9.93941,30.28819,,active,,,Temesgen Endale,30/09/2019,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs005225,Ajuong Thok,Napata school HP,SSD-SSDs005225-000013,AJNapata sc. HP,9.93958,30.2881,,inactive,,,Temesgen Endale,30/09/2019,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs005225,Ajuong Thok,Alwa school HP,SSD-SSDs005225-000014,AJAlwa sc. HP,9.96458,30.29651,,active,,,Temesgen Endale,30/09/2019,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs005225,Ajuong Thok,Hakima PHCC HP,SSD-SSDs005225-000015,AJHakima HP,9.96985,30.2722,,active,,,Temesgen Endale,30/09/2019,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs005225,Ajuong Thok,Bakee school HP,SSD-SSDs005225-000016,AJBakee sc. HP,9.98081,30.28557,,active,,,Temesgen Endale,30/09/2019,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs005225,Ajuong Thok,Block_57_HP,SSD-SSDs005225-000017,AJBlock_57_HP,9.98322,30.27966,,active,,,Temesgen Endale,30/09/2019,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs005225,Ajuong Thok,Block_60_HP,SSD-SSDs005225-000018,AJBlock_60_HP,9.98505,30.2861,,active,,,Temesgen Endale,30/09/2019,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,SSDs004119,Doro,Baldugu,SSD-SSDs004119-001,Unknown,9.97444,33.73634,,active,,,,,no,22,14,electrical_pump,Grundfos SQ 5-70,,1.85,generator,,,4,pvc,,,,fractured_rock,6,,,,,,12,,,,2.5,,,,,,,,,,,,,
SSD,South Sudan,SSDs004119,Doro,Surkum water pump,SSD-SSDs004119-002,Unknown,9.98858,33.74223,,active,,,,,no,35,18,electrical_pump,Grundfos SP 8A - 12,,2.2,grid_generator,,,5,pvc,,,,fractured_rock,10,,,,,,12,,,,2.5,,,,,,,,,,,,,
SSD,South Sudan,SSDs004119,Doro,Mayak,SSD-SSDs004119-003,Unknown,9.98333,33.74301,,active,,,,,no,,18,electrical_pump,Grundfos SQ 5-70,,1.85,generator,,,4,pvc,,,,fractured_rock,4.5,,,,,,12,,,,2.5,,,,,,,,,,,,,
SSD,South Sudan,SSDs004119,Doro,New Belila,SSD-SSDs004119-004,Unknown,9.98695,33.74804,,active,,,,,no,28,14,electrical_pump,Grundfos SQ 5-70,,1.85,generator,,,4,pvc,,,,fractured_rock,7.5,,,,,,12,,,,2.5,,,,,,,,,,,,,
SSD,South Sudan,SSDs004119,Doro,Air Strip,SSD-SSDs004119-005,Unknown,9.97373,33.74892,,active,,,,,no,26,14,electrical_pump,Grundfos SQ 5-70,,1.85,generator,,,4,pvc,,,,fractured_rock,6,,,,,,12,,,,2.5,,,,,,,,,,,,,
SSD,South Sudan,SSDs004119,Doro,Bellatuma,SSD-SSDs004119-006,Unknown,9.99448,33.75227,,active,,,,,no,50,35,electrical_pump,Grundfos SQ 5-70,,1.85,generator,,,4,pvc,,,,fractured_rock,2.8,,,,,,12,,,,2.5,,,,,,,,,,,,,
SSD,South Sudan,SSDs004119,Doro,Bee,SSD-SSDs004119-007,Unknown,9.97727,33.75499,,active,,,,,no,,25,electrical_pump,Grundfos SQ 5-70,,1.85,generator,,,4,pvc,,,,fractured_rock,7,,,,,,12,,,,2.5,,,,,,,,,,,,,
SSD,South Sudan,SSDs004119,Doro,Soda,SSD-SSDs004119-008,Unknown,9.98031,33.75765,,active,,,,,no,30,15,electrical_pump,Grundfos SQ 5-70,,1.85,generator,,,4,pvc,,,,fractured_rock,7.5,,,,,,12,,,,2.5,,,,,,,,,,,,,
