Iso3,Country,Site ID,Site name,Borehole name,Automatic Borehole ID,Local Borehole ID,Latitude,Longitude,Elevation in meters above sea level,Status,Drilling date,Unknown drilling date,Last editor,Date of update,Hidden borehole,Depth in m,Static water level in meters below ground level,Type of pump,Pump brand and model,Pump depth in m,Pump motor power in kilowatt,Energy source,Generator brand and model,Generator capacity in kilovolt-ampere (kVA),Casing diameter in inch,Casing material,Screened areas in m,Sum of screened areas in m,End of casing/start of open hole in m,Aquifer type,Driller's yield in m3/hr,Dynamic Water Level at driller's yield in m,Pumping tests (DWL [m] - yield [m3/hr]),Pumping test quality control evaluation from solar tool (read only),Safe yield from solar tool in m3/hr (read only),Transmissivity from constant rate pumping test in m2/sec,Daily pumping time in h,Date of last water quality control,Conductivity in micro S/cm (microsiemen/cm),pH,Turbidity in NTU,Ammonia concentration in mg/L,Arsenic concentration in micro g/L,Fluoride concentration in mg/L,Nitrate concentration in mg/L,Nitrite concentration in mg/L,E-Coli,Solar potential in % (read only),Investment cost estimation in $ (read only),Maintenance cost estimation (read only),Solar gross payback in years (read only),Amount of CO2 avoided in tonnes/year (read only),Attachment description,Comments
SDN,Sudan,SDNs015505,Abu Ajura,UNHCR Abu Ajurah 3,SDN-SDNs015505-000001,Unknown,11.588169,24.671086,610,active,3/9/2018,,,,no,48,15,electrical_pump,Sp pump,42,1.8,solar,,,5.5,pvc,,,,,,,,,,,,7/9/2018,,8.2,,,,,,,,,,,,,,"The Borehole  drilled by WES SD donated by UNHCR 
data interred by Eisa Suleiman /WASH Associate  SUD SD Nyala"
SDN,Sudan,SDNs015505,Abu Ajura,North Heath Center,SDN-SDNs015505-000002,Hp1,11.5906,24.67178,673,active,10/8/2018,,Suleiman Ahmed Omer EISA/ WASH Assiciate,17/09/2019,no,45,15,hand_pump,Indian Mark II,33,,,,,4.5,pvc,"34.0-40.0, 41.0-45.0",10,,fractured_rock,5.6,,,,,,8,10/8/2018,,8.2,,,,,,,,,,,,,,
SDN,Sudan,SDNs015505,Abu Ajura,Al Salam School,SDN-SDNs015505-000003,HP2,11.58997,24.67125,607,active,5/9/2018,,Suleiman Ahmed Omer EISA/ WASH Associate,18/09/2019,no,45,15,hand_pump,Indian Mark II,33,,,,,4.5,pvc,,,,fractured_rock,5,,,,,,8,,,,,,,,,,,,,,,,,
SDN,Sudan,SDNs015505,Abu Ajura,NW Market,SDN-SDNs015505-000004,HP3,11.594573,24.673089,607,active,5/9/2018,,Suleiman Ahmed Omer EISA /WASH Associate,19/09/2019,no,36,10,hand_pump,Indian Mark II,25,,,,,4.5,pvc,30.0-36.0,6,,fractured_rock,6,,,,,,8,,,,,,,,,,,,,,,,,
SDN,Sudan,SDNs015505,Abu Ajura,Al Baytary area,SDN-SDNs015505-000005,HP4,11.59808,24.67655,605,active,8/9/2018,,Suleiman Ahmed Omer EISA / WASH Associate,19/09/2019,no,36,10,hand_pump,Indian Mark II,25,,,,,4.6,pvc,30.0-36.0,6,,fractured_rock,5.6,,,,,,8,,,,,,,,,,,,,,,,,
SDN,Sudan,SDNs015505,Abu Ajura,East Market,SDN-SDNs015505-000006,HP 5,11.59453,24.67599,606,active,8/9/2018,,Suleiman Ahmed Omer EISA / WASH Associate,22/09/2019,no,45,25,hand_pump,Indian Mark II,33,,,,,4.5,pvc,39.0-45.0,6,,fractured_rock,4.5,,,,,,8,8/9/2018,,,,,,,,,,,,,,,,
SDN,Sudan,SDNs015505,Abu Ajura,Al Mahdia area,SDN-SDNs015505-000007,HP6,11.5967,24.67779,506,active,7/9/2019,,Suleiman Ahmed  Omer EISA / WASH Associate,22/09/2019,no,30,10,hand_pump,Indian Mark II,21,,,,,4.5,pvc,24.0-30.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan,SDNs027995,Abu Jubaiha Town,Water point - Abu jubaiha IOM,SDN-SDNs027995-000001,MWY1,11.457194,31.242978,567,active,,no,"Mazen, WASH Associate",23/10/2019,no,,,electrical_pump,,,,solar_generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan,SDNs027995,Abu Jubaiha Town,Water point 2- Abu jubaiha IOM,SDN-SDNs027995-000002,MWY2,11.45295,31.242211,567,active,,no,"Mazen, WASH Associate",23/10/2019,no,,,electrical_pump,,,,solar_generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan,SDNs027984,Abu Nowara,Abu Nowara WY,SDN-SDNs027984-000001,1,11.187719,31.516595,446,active,,yes,"Mazen, WASH Associate",30/09/2019,no,,,electrical_pump,,,,generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
