Iso3,Country,Site ID,Site name,Borehole name,Automatic Borehole ID,Local Borehole ID,Latitude,Longitude,Elevation in meters above sea level,Status,Drilling date,Unknown drilling date,Last editor,Date of update,Hidden borehole,Depth in m,Static water level in meters below ground level,Type of pump,Pump brand and model,Pump depth in m,Pump motor power in kilowatt,Energy source,Generator brand and model,Generator capacity in kilovolt-ampere (kVA),Casing diameter in inch,Casing material,Screened areas in m,Sum of screened areas in m,End of casing/start of open hole in m,Aquifer type,Driller's yield in m3/hr,Dynamic Water Level at driller's yield in m,Pumping tests (DWL [m] - yield [m3/hr]),Pumping test quality control evaluation from solar tool (read only),Safe yield from solar tool in m3/hr (read only),Transmissivity from constant rate pumping test in m2/sec,Daily pumping time in h,Date of last water quality control,Conductivity in micro S/cm (microsiemen/cm),pH,Turbidity in NTU,Ammonia concentration in mg/L,Arsenic concentration in micro g/L,Fluoride concentration in mg/L,Nitrate concentration in mg/L,Nitrite concentration in mg/L,E-Coli,Solar potential in % (read only),Investment cost estimation in $ (read only),Maintenance cost estimation (read only),Solar gross payback in years (read only),Amount of CO2 avoided in tonnes/year (read only),Attachment description,Comments
TZA,United Republic of Tanzania,TZAs001526,Mtendeli,ARDHI BH1/BH#01,TZA-TZAs001526-000006,Unknown,-3.44695,30.89438,1319.55,active,29/09/2015,,,,no,107,11.2,electrical_pump,Grundfos,78,5.51624,generator,FG WILLISON/PERKINS ENGINE,110,8,pvc,"24.0-33.0, 67.0-73.0, 76.0-82.0",21,,fractured_rock,10,,,,,,14,,,,,,,,,,,,,,,,,
TZA,United Republic of Tanzania,TZAs001526,Mtendeli,EXPLOTECH BH1/BH#02,TZA-TZAs001526-000007,Unknown,-3.43648,30.89775,1285.7,inactive,29/01/2016,,,,no,94,4.12,electrical_pump,Grundfos,75,5.51624,generator,FG WILLISON/PERKINS ENGINE,88,8,pvc,"23.6-32.45, 38.35-41.3, 47.2-50.15",14.75,,fractured_rock,15,,,,,,14,,,,,,,,,,,,,,,,,
TZA,United Republic of Tanzania,TZAs001526,Mtendeli,EXPLOTECH /PNR3/BH#03,TZA-TZAs001526-000008,Unknown,-3.43897,30.89442,1296.3,inactive,2/7/2016,,,,no,80,17.25,electrical_pump,Grundfos,68,11.0325,generator,FG WILLISON/PERKINS ENGINE,110,8,pvc,"21.28-39.52, 54.72-63.84, 72.96-76.0",30.4,,fractured_rock,11,,,,,,14,,,,,,,,,,,,,,,,,
TZA,United Republic of Tanzania,TZAs001526,Mtendeli,PNR 5/ BH#04,TZA-TZAs001526-000009,Unknown,-3.44304,30.89335,1302.2,inactive,7/6/2016,,,,no,81,3.5,electrical_pump,Grundfos,68,5.51624,generator,FG WILLISON/PERKINS ENGINE,110,8,pvc,"21.28-33.44, 42.56-45.6, 57.76-72.96",30.4,,fractured_rock,7,,,,,,14,,,,,,,,,,,,,,,,,
TZA,United Republic of Tanzania,TZAs001526,Mtendeli,PNR 9/BH#05,TZA-TZAs001526-000010,Unknown,-3.441,30.89356,1297.5,active,13/07/2016,,,,no,81,12.2,electrical_pump,Grundfos,68,9.193734,generator,FG WILLISON/PERKINS ENGINE,88,8,pvc,"15.2-39.52, 51.68-57.76, 63.84-66.88",33.44,,fractured_rock,12,,,,,,14,,,,,,,,,,,,,,,,,
TZA,United Republic of Tanzania,TZAs001526,Mtendeli,PNR 10/BH#06,TZA-TZAs001526-000011,Unknown,-3.43747,30.89588,1292.3,inactive,8/8/2016,,,,no,81,15.16,electrical_pump,Grundfos,68,5.51624,generator,FG WILLISON/PERKINS ENGINE,88,8,pvc,18.24-57.76,39.52,,fractured_rock,15,,,,,,14,,,,,,,,,,,,,,,,,
TZA,United Republic of Tanzania,TZAs001526,Mtendeli,VICTORIA/BH#07,TZA-TZAs001526-000012,Unknown,-3.42127,30.87142,1259,active,29/11/2017,,,,no,102,10.9,electrical_pump,Grundfos,57,21.69721,generator,FG WILLISON/PERKINS ENGINE,88,8,pvc,"39.0-45.0, 48.0-57.0, 60.0-66.0",21,,fractured_rock,23,,,,,,14,,,,,,,,,,,,,,,,,
TZA,United Republic of Tanzania,TZAs001526,Mtendeli,VICTORIA/BH#08,TZA-TZAs001526-000013,Unknown,-3.40231,30.85921,1290,active,20/10/2017,,,,no,101,3.6,electrical_pump,Grundfos,51,21.69721,generator,AKSA/PERKINS ENGINE,88,8,pvc,"20.0-26.0, 29.0-35.0, 38.0-41.0",15,,fractured_rock,20,,,,,,14,,,,,,,,,,,,,,,,,
TZA,United Republic of Tanzania,,Nduta,BH02,TZA--000015,Unknown,-3.697243,30.765947,1254,inactive,29/11/2018,,,,no,73,33.36,electrical_pump,Grundfos- SP 5A- 25,63,3,generator,Perkins,100,8,pvc,"43.0-49.0, 52.0-55.0, 58.0-61.0",12,,fractured_rock,7.5,,,,,,,13/12/2018,332,6.34,2.4,,,0.4,0.5,,,,,,,,,
TZA,United Republic of Tanzania,,Nduta,BH03,TZA--000016,Unknown,-3.698792,30.767896,1251,active,7/1/2017,,,,no,64,30,electrical_pump,DAB SS6C- 21,60,18.5,generator,FG Wilson,88,8,pvc,,,,fractured_rock,30,,,,,,,9/11/2017,469,7.13,56.7,0.1,,0.1,0,0.17,,,,,,,,
TZA,United Republic of Tanzania,,Nduta,BH01,TZA--000017,Unknown,-3.701343,30.769536,1249,active,28/03/2017,,,,no,73,14.5,electrical_pump,DAB SS6C- 21,67,18.5,generator,FG Wilson,50,8,pvc,,,,fractured_rock,30,,,,,,,31/03/2017,52,6.5,0.48,,,0.08,0.4,,,,,,,,,
TZA,United Republic of Tanzania,TZAs001530,Nyarugusu,004-BH-Z11,TZA-TZAs001530-000001,Unknown,-4.23405556,30.38077778,1181,active,6/1/2016,,,,no,65,24.3,electrical_pump,Grundfos - SP60-15,49.5,26,solar_generator,Perkins,165,8,pvc,,,,fractured_rock,60,,,,,,19,,,6.8,,,,,,,,,,,,,,
TZA,United Republic of Tanzania,TZAs001530,Nyarugusu,001-BH-Z8,TZA-TZAs001530-000002,Unknown,-4.25086111,30.41044444,1175,active,26/06/2005,,,,no,80,2.8,electrical_pump,Grundfos,60,11,solar_generator,LISTER-PETTER,75,6,pvc,80.0-81.5,1.5,,fractured_rock,21,,,,,,9,,,6.8,,,,,,,,,,,,,,
TZA,United Republic of Tanzania,TZAs001530,Nyarugusu,003-BH-Z8,TZA-TZAs001530-000003,Unknown,-4.25427778,30.41147222,1169,active,27/06/2005,,,,no,74,13,electrical_pump,Grundfos,24,,solar_generator,LISTER-PETTER,110,8,pvc,,,,fractured_rock,57,,,,,,22,,,6.8,,,,,,,,,,,,,,
TZA,United Republic of Tanzania,TZAs001530,Nyarugusu,002-BH-Z7,TZA-TZAs001530-000004,Unknown,-4.21262701,30.36426761,1197,inactive,31/07/2018,,,,no,91.5,42.9,electrical_pump,Grundfos SP 77-11,88,44,solar_generator,Kohler,110,8,pvc,70.0-71.5,1.5,,fractured_rock,99,,,,,,,,,6.8,,,,,,,,,,,,,,
TZA,United Republic of Tanzania,TZAs001530,Nyarugusu,005-BH-Z11,TZA-TZAs001530-000005,Unknown,-4.24542,30.40946,1175,active,31/12/2017,,,,no,90,14.87,electrical_pump,Lorentz - PSK2 - 40,50,30,solar_generator,Welland / Perkin,100,10,pvc,,,,fractured_rock,99,,,,,,20,,,6.8,,,,,,,,,,,,,,
