Iso3,Country,Site ID,Site name,Borehole name,Automatic Borehole ID,Local Borehole ID,Latitude,Longitude,Elevation in meters above sea level,Status,Drilling date,Unknown drilling date,Last editor,Date of update,Hidden borehole,Depth in m,Static water level in meters below ground level,Type of pump,Pump brand and model,Pump depth in m,Pump motor power in kilowatt,Energy source,Generator brand and model,Generator capacity in kilovolt-ampere (kVA),Casing diameter in inch,Casing material,Screened areas in m,Sum of screened areas in m,End of casing/start of open hole in m,Aquifer type,Driller's yield in m3/hr,Dynamic Water Level at driller's yield in m,Pumping tests (DWL [m] - yield [m3/hr]),Pumping test quality control evaluation from solar tool (read only),Safe yield from solar tool in m3/hr (read only),Transmissivity from constant rate pumping test in m2/sec,Daily pumping time in h,Date of last water quality control,Conductivity in micro S/cm (microsiemen/cm),pH,Turbidity in NTU,Ammonia concentration in mg/L,Arsenic concentration in micro g/L,Fluoride concentration in mg/L,Nitrate concentration in mg/L,Nitrite concentration in mg/L,E-Coli,Solar potential in % (read only),Investment cost estimation in $ (read only),Maintenance cost estimation (read only),Solar gross payback in years (read only),Amount of CO2 avoided in tonnes/year (read only),Attachment description,Comments
UGA,Uganda,UGAs004662,Ayilo ,Ayilo Ext 7,UGA-UGAs004662-001,Unknown,3.28930556,31.92780556,738,active,9/4/2014,,,,no,51,,hand_pump,,21,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,UGAs004662,Ayilo ,Ayilo Ext 2,UGA-UGAs004662-002,Unknown,3.28536111,31.92897222,737,active,11/4/2014,,,,no,51,,hand_pump,,21,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,UGAs004662,Ayilo ,Ayilo Ext 5,UGA-UGAs004662-003,Unknown,3.28063889,31.92986111,730,active,20/04/2014,,,,no,54,,hand_pump,,21,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,UGAs004662,Ayilo ,Ayilo Camp,UGA-UGAs004662-004,Unknown,3.28472222,31.94527778,777,active,16/03/2013,,,,no,87,14.83,hand_pump,,54,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,UGAs004662,Ayilo 1,Deep borehole,UGA-UGAs004662-005,Unknown,3.28919444,31.92786111,732,active,4/2/2014,,,,no,51,0,hand_pump,U2,21,,,,,5,pvc,,,,fractured_rock,2,,,,,,12,,480,7.5,1.2,,,,0.1,0.009,,,,,,,,
UGA,Uganda,UGAs004662,Ayilo 1,Deep borehole,UGA-UGAs004662-006,Unknown,3.28533333,31.92894444,734,active,4/4/2014,,,,no,51,0,hand_pump,U2,21,,,,,5,pvc,,,,fractured_rock,2,,,,,,12,,465,7.4,3.8,,,,1.2,0.007,,,,,,,,
UGA,Uganda,UGAs004662,Ayilo 1,Deep borehole,UGA-UGAs004662-007,Unknown,3.28063889,31.92983333,740,active,4/12/2014,,,,no,54,0,hand_pump,U2,21,,,,,5,pvc,,,,fractured_rock,1.5,,,,,,12,,476,7.6,0.94,,,,0.4,0.008,,,,,,,,
UGA,Uganda,UGAs004662,Ayilo 1,Deep borehole,UGA-UGAs004662-008,Unknown,3.29533333,31.93986111,756,active,30/03/2014,,,,no,78.3,5.82,hand_pump,U2,72,,,,,5,pvc,,,,fractured_rock,0.85,,,,,,12,,393,6.97,1,,,0.02,0.03,0.004,,,,,,,,
UGA,Uganda,UGAs004662,Ayilo 1,Deep borehole,UGA-UGAs004662-009,Unknown,3.29677778,31.94252778,756,active,30/03/2014,,,,no,69,8.8,hand_pump,U2,54,,,,,5,pvc,,,,fractured_rock,0.8,,,,,,12,,634,6.95,1,,,0.09,0.03,0.003,,,,,,,,
UGA,Uganda,UGAs004662,Ayilo 1,Deep borehole,UGA-UGAs004662-010,Unknown,3.28466667,31.94525,778,active,4/11/2014,,,,no,84,14.83,hand_pump,U2,54,,,,,5,pvc,,,,fractured_rock,,,,,,,12,,452,7,1.4,,,,0.8,0.006,,,,,,,,
