Iso3,Country,Site ID,Site name,Borehole name,Automatic Borehole ID,Local Borehole ID,Latitude,Longitude,Elevation in meters above sea level,Status,Drilling date,Unknown drilling date,Last editor,Date of update,Hidden borehole,Depth in m,Static water level in meters below ground level,Type of pump,Pump brand and model,Pump depth in m,Pump motor power in kilowatt,Energy source,Generator brand and model,Generator capacity in kilovolt-ampere (kVA),Casing diameter in inch,Casing material,Screened areas in m,Sum of screened areas in m,End of casing/start of open hole in m,Aquifer type,Driller's yield in m3/hr,Dynamic Water Level at driller's yield in m,Pumping tests (DWL [m] - yield [m3/hr]),Pumping test quality control evaluation from solar tool (read only),Safe yield from solar tool in m3/hr (read only),Transmissivity from constant rate pumping test in m2/sec,Daily pumping time in h,Date of last water quality control,Conductivity in micro S/cm (microsiemen/cm),pH,Turbidity in NTU,Ammonia concentration in mg/L,Arsenic concentration in micro g/L,Fluoride concentration in mg/L,Nitrate concentration in mg/L,Nitrite concentration in mg/L,E-Coli,Solar potential in % (read only),Investment cost estimation in $ (read only),Maintenance cost estimation (read only),Solar gross payback in years (read only),Amount of CO2 avoided in tonnes/year (read only),Attachment description,Comments
ZWE,Zimbabwe,ZWEs002069,Tongogara,,ZWE-ZWEs002069-000001,TRC BH1,-20.34749444,32.30499722,439,active,,,Jay Matta,8/7/2019,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,,216,7.9,5,,,,,,,,,,,,,
ZWE,Zimbabwe,ZWEs002069,Tongogara,,ZWE-ZWEs002069-000002,TRC BH2,-20.34204444,32.30538056,442,active,,,Jay Matta,8/7/2019,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,,306,7.4,5,,,,,,,,,,,,,
ZWE,Zimbabwe,ZWEs002069,Tongogara,,ZWE-ZWEs002069-000003,TRC BH3,-20.342526,32.305311,439,active,,,Jay Matta,8/7/2019,no,,,electrical_pump,,,,solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,ZWEs002069,Tongogara,,ZWE-ZWEs002069-000004,TRC BH4,-20.34224444,32.3053,438,inactive,,,Jay Matta,8/7/2019,no,,7.93,electrical_pump,,,,solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,ZWEs002069,Tongogara,,ZWE-ZWEs002069-000005,TRC BH5,-20.34204444,32.30538056,438,active,,,Jay Matta,8/7/2019,no,,17.69,electrical_pump,,,,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,ZWEs002069,Tongogara,,ZWE-ZWEs002069-000006,TRC BH6,-20.342,32.30549722,438,active,,,Jay Matta,8/7/2019,no,,,electrical_pump,,,,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,ZWEs002069,Tongogara,,ZWE-ZWEs002069-000007,TRC BH7,-20.342777,32.306243,439,active,,,Jay Matta,8/7/2019,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,,306,7.6,5,,,,,,,,,,,,,
ZWE,Zimbabwe,ZWEs002069,Tongogara,,ZWE-ZWEs002069-000008,TRC BH8,-20.343117,32.309788,443,active,,,Jay Matta,8/7/2019,no,,14.48,hand_pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,ZWEs002069,Tongogara,,ZWE-ZWEs002069-000009,TRC BH9,-20.348055,32.310674,441,active,,,Jay Matta,8/7/2019,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,,567,7.47,5,,,,,,,,,,,,,
ZWE,Zimbabwe,ZWEs002069,Tongogara,,ZWE-ZWEs002069-000010,TRC BH10,-20.34834444,32.31257222,443,active,,,Jay Matta,8/7/2019,no,,,hand_pump,,,,,,,,,,,,,,,,,,,,,715,7.1,5,,,,,,,,,,,,,
