RC,UFI,UNI,DLAT,DLONG,LAT,LONG,MGRS,UTM,JOG,FC,DSG,PC,CC1,ADM1,ADM2,DIM,CC2,NT,LC,SHORT_FORM,GENERIC,SORT_NAME,FULL_NAME,FULL_NAME_,NEWDLAT,NEWDLONG
"3","-2037501","-4834121",12.38333330000,42.73333330000,"122300","424400",38PKU5354869989,KU56,ND38-13,H,WLL,"0",DJ,"0","0","0",ET,N,,,,TIDDIGILLEBOLO,Tiddigille Bôlo,Tiddigille Bolo,12.38602265000,42.73669277000
"3","-2037352","-4834118",12.56583330000,42.85750000000,"123357","425127",38PKU6721890072,KU69,ND38-13,H,WLL,"0",DJ,"0","0","0",ET,N,,,,SILALMII,Silalmi¯i,Silalmi`i,12.57226815000,42.85918042000
"3","-2037183","-4834114",12.50000000000,42.51666670000,"123000","423100",38PKU3009883111,KU38,ND38-13,H,WLL,"0",DJ,"0","0","0",ET,N,,,,SABBALI,Sabbâli,Sabbali,12.50499210000,42.51333634000
"3","-2037121","-4834113",10.98333330000,42.85000000000,"105900","425100",38PKT6506114978,KT61,NC38-05,H,WLL,"0",DJ,"0","0","0",ET,N,,,,RAHLEHIGLE,Rahle Higle,Rahle Higle,10.98224060000,42.84734693000
"3","-2037120","-4834112",10.98333330000,42.86666670000,"105900","425200",38PKT6688314965,KT61,NC38-05,H,WLL,"0",DJ,"0","0","0",ET,N,,,,RAHLEGODLE,Rahle Godle,Rahle Godle,10.98860024000,42.86237442000
"3","-2036115","-4834096",12.53277780000,42.82194440000,"123158","424919",38PKU6332386446,KU68,ND38-13,H,WLL,"0",DJ,"0","0","0",ET,N,,,,KOLFIYTA,Kolfiyta,Kolfiyta,12.53788335000,42.82820196000
"3","-2035999","-4834092",12.38333330000,42.71666670000,"122300","424300",38PKU5173570005,KU57,ND38-13,H,WLL,"0",DJ,"0","0","0",ET,N,,,,KALLAASSA,Kalla¯assa,Kalla`assa,12.37816465000,42.71165957000
"3","-2035501","-4834080",12.54944440000,42.84638890000,"123258","425047",38PKU6599588268,KU68,ND38-13,H,WLL,"0",DJ,"0","0","0",ET,N,,,,HARROUG,Harroûg,Harroug,12.54738235000,42.84856069000
"3","-2035303","-4834076",10.96666670000,42.88333330000,"105800","425300",38PKT6869213108,KT61,NC38-05,H,WLL,"0",DJ,"0","0","0",ET,N,,,,HADADOWGODLE,Ha£â£ow Godle,Hadadow Godle,10.95979711000,42.87845634000
"3","-2035226","-4834074",12.45000000000,42.81666670000,"122700","424900",38PKU6267377291,KU67,ND38-13,H,WLL,"0",DJ,"0","0","0",ET,N,,,,GOUBIGAHERTOU,Goubi Ga²ertou,Goubi Gahertou,12.44170902000,42.82460874000
"3","-2034356","-4834060",12.57611110000,42.85972220000,"123434","425135",38PKU6746891207,KU69,ND38-13,H,WLL,"0",DJ,"0","0","0",ET,N,,,,DIMMIYTO,Dimmiyto,Dimmiyto,12.56935734000,42.85965725000
"3","-2034051","-4834053",12.55111110000,42.85972220000,"123304","425135",38PKU6744688441,KU68,ND38-13,H,WLL,"0",DJ,"0","0","0",ET,N,,,,DAMATADA,Dama¯ta Dâ,Dama`ta Da,12.54973893000,42.86306641000
"3","-2033936","-4834047",12.59361110000,42.87138890000,"123537","425217",38PKU6875293133,KU69,ND38-13,H,WLL,"0",DJ,"0","0","0",ET,N,,,,DAGADLE,agadle,Dagadle,12.59591505000,42.87365684000
"3","-2033680","-4834040",12.64611110000,42.97166670000,"123846","425818",38PKU7969598856,KU79,ND38-13,H,WLL,"0",DJ,"0","0","0",ET,N,,,,BISIDIRO,Bisîdiro,Bisidiro,12.64389921000,42.97247410000
"3","-2033449","-4834035",12.41666670000,42.81666670000,"122500","424900",38PKU6264373602,KU67,ND38-13,H,WLL,"0",DJ,"0","0","0",ET,N,,,,AYRINDADDA,Ayrin a££a¯,Ayrin Dadda`,12.41675089000,42.81098428000
"3","-2033275","-4834029",10.98333330000,42.83333330000,"105900","425000",38PKT6323914991,KT61,NC38-05,H,WLL,"0",DJ,"0","0","0",ET,N,,,,ASAMO,¯Asâmo,`Asamo,10.98661032000,42.83393832000
"3","-2033065","-4834027",12.52777780000,42.81972220000,"123140","424911",38PKU6307785895,KU68,ND38-13,H,WLL,"0",DJ,"0","0","0",ET,N,,,,ANDALLELOU,An£allêlou,Andallelou,12.53077574000,42.82070006000
"3","-2032657","-4834019",12.41666670000,42.78333330000,"122500","424700",38PKU5901873632,KU57,ND38-13,H,WLL,"0",DJ,"0","0","0",ET,N,,,,ADKOMA,¯Adkôma,`Adkoma,12.42319404000,42.77708606000
"3","-2032591","-4834017",12.41666670000,42.76666670000,"122500","424600",38PKU5720573647,KU57,ND38-13,H,WLL,"0",DJ,"0","0","0",ET,N,,,,ADBOLTO,¯Adbolto,`Adbolto,12.41131108000,42.77444538000
"3","-2033637","-4556306",11.01666670000,42.96666670000,"110100","425800",38PKT7784018577,KT71,NC38-01,H,WLL,"0",DJ,"0","0","0",SO,N,,,,BEYYOGESTIR,Bêyyo Gêstîr,Beyyo Gestir,11.01847316000,42.96910427000
"3","-2037697","-2829843",11.73444440000,42.67611110000,"114404","424034",38PKT4671598235,KT49,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,YOUKKOUHOUR,Youkkou²our,Youkkouhour,11.72863770000,42.68076703000
"3","-2037696","-2829841",11.93527780000,42.84805560000,"115607","425053",38PKU6563520308,KU62,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,YOOREN,Yô¯orên,Yo`oren,11.94099149000,42.84459067000
"3","-2037696","-2829839",11.93527780000,42.84805560000,"115607","425053",38PKU6563520308,KU62,NC38-01,H,WLL,"0",DJ,"0","0","0",,V,,,,YOOREIN,Yoorein,Yoorein,11.93311732000,42.85553995000
"3","-2037686","-2829828",12.22194440000,42.72333330000,"121319","424324",38PKU5230952139,KU55,ND38-13,H,WLL,"0",DJ,"0","0","0",,V,,,,YAYGORI,Yaygori,Yaygori,12.22962399000,42.72498543000
