row_id,source,lat_deg,lon_deg,report_date,status_id,water_source,water_source_clean,water_tech_clean,water_tech,_facility_type,country_name,adm1,adm2,_adm3,install_year,installer,_rehab_year,_rehabilitator,management,pay,status,fecal_coliform_value,fecal_coliform_presence,subjective_quality,activity_id,scheme_id,notes,photo_lnk,orig_lnk,data_lnk,public_data_source,converted,country_id,lat_lon_deg,created_timestamp,updated,geocoded_column,count,clean_country_id,clean_country_name,clean_adm1,clean_adm2,clean_adm3,water_tech_original,water_source_original,lat_deg_original,lon_deg_original,management_clean,management_original,water_source_category,water_tech_category
222474,"Institute for Sustainable Futures, University of Technology Sydney",13.38706,-13.868675,2016-05-08T00:00:00.000,Yes,Shallow well,Undefined Shallow Well,,Blue Pump,Improved,Gambia,Upper River,Kantora,,2013,Swegam,,,Community Management,Upon  breakdown,No leak,,,,,,Hamdalo Yorro_2 - PUMP 1,http://mydoforms.appspot.com/imageViewer?blobKey=ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDQ4ofV5wkM&blobName=eg053s5b7u6laje$$04262016090412$$Published$$689$$P$$1.jpg,,https://catalog.waterpointdata.org/datasets/isf-gambia-for-wpdx-reingestion-5f7e7d73,https://catalog.waterpointdata.org/datafiles/isf-gambia-for-wpdx-reingestion-5f7e7d73.xlsx,,GM,"(13.38706°, -13.868675°)",2020-10-08T02:46:11.000,2020-10-08T02:46:11.000,POINT (-13.868675 13.38706),1,GMB,Gambia,Upper River,Kantora,,blue pump,shallow well,,,Community Management,community management,Well,
222487,"Institute for Sustainable Futures, University of Technology Sydney",13.478507,-16.31034,2016-05-05T00:00:00.000,No,Shallow well,Undefined Shallow Well,,Mark 2,Improved,Gambia,North Bank,Upper Nuimi,,1992,FRG,,,Community Management,Upon  breakdown,Non-func,,,,,,Kerr Sarre Alpha - PUMP 2,http://mydoforms.appspot.com/imageViewer?blobKey=ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDQgrqNuwsM&blobName=eg053s5b7u6laje$$04262016090412$$Published$$671$$P$$2.jpg,,https://catalog.waterpointdata.org/datasets/isf-gambia-for-wpdx-reingestion-5f7e7d73,https://catalog.waterpointdata.org/datafiles/isf-gambia-for-wpdx-reingestion-5f7e7d73.xlsx,,GM,"(13.478507°, -16.31034°)",2020-10-08T02:46:11.000,2020-10-08T02:46:11.000,POINT (-16.31034 13.478507),1,GMB,Gambia,North Bank,Upper Nuimi,,mark 2,shallow well,,,Community Management,community management,Well,
222548,"Institute for Sustainable Futures, University of Technology Sydney",13.17221,-16.523246,2016-04-23T00:00:00.000,No,Borehole,Borehole,,Mark 2,Improved,Gambia,Western,Kombo East,,1990,"Government of Saudia Arabia, GTZ",,,Community Management,Upon  breakdown,Non-func,,,,,,Omorthoh - PUMP 1,http://mydoforms.appspot.com/imageViewer?blobKey=ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDQxKeH3AsM&blobName=eg053s5b7u6laje$$04192016205205$$Published$$512$$P$$1.jpg,,https://catalog.waterpointdata.org/datasets/isf-gambia-for-wpdx-reingestion-5f7e7d73,https://catalog.waterpointdata.org/datafiles/isf-gambia-for-wpdx-reingestion-5f7e7d73.xlsx,,GM,"(13.17221°, -16.523246°)",2020-10-08T02:46:11.000,2020-10-08T02:46:11.000,POINT (-16.523246 13.17221),1,GMB,Gambia,Western,Kombo East,,mark 2,borehole,,,Community Management,community management,Well,
222455,"Institute for Sustainable Futures, University of Technology Sydney",13.387502,-13.854968,2016-05-09T00:00:00.000,Yes,Shallow well,Undefined Shallow Well,,Mark 2,Improved,Gambia,Upper River,Kantora,,1986,,,,Community Management,Upon  breakdown,Major leak,,,,,,Karsi Kunda - PUMP 1,http://mydoforms.appspot.com/imageViewer?blobKey=ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDQkqusmgkM&blobName=eg053s5b7u6laje$$04262016090412$$Published$$718$$P$$2.jpg,,https://catalog.waterpointdata.org/datasets/isf-gambia-for-wpdx-reingestion-5f7e7d73,https://catalog.waterpointdata.org/datafiles/isf-gambia-for-wpdx-reingestion-5f7e7d73.xlsx,,GM,"(13.387502°, -13.854968°)",2020-10-08T02:46:11.000,2020-10-08T02:46:11.000,POINT (-13.854968 13.387502),1,GMB,Gambia,Upper River,Kantora,,mark 2,shallow well,,,Community Management,community management,Well,
222452,"Institute for Sustainable Futures, University of Technology Sydney",13.556191,-15.248134,2016-05-10T00:00:00.000,No,Shallow well,Undefined Shallow Well,,Mark 2,Improved,Gambia,Central River,Niamina West,,,FRG,,,Community Management,Upon  breakdown,Non-func,,,,,,Choya - PUMP 2,http://mydoforms.appspot.com/imageViewer?blobKey=ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDQyvKp_AkM&blobName=eg053s5b7u6laje$$04262016090412$$Published$$731$$P$$2.jpg,,https://catalog.waterpointdata.org/datasets/isf-gambia-for-wpdx-reingestion-5f7e7d73,https://catalog.waterpointdata.org/datafiles/isf-gambia-for-wpdx-reingestion-5f7e7d73.xlsx,,GM,"(13.556191°, -15.248134°)",2020-10-08T02:46:11.000,2020-10-08T02:46:11.000,POINT (-15.248134 13.556191),1,GMB,Gambia,Maccarthy Island,Niamina West,,mark 2,shallow well,,,Community Management,community management,Well,
222512,"Institute for Sustainable Futures, University of Technology Sydney",13.491113,-16.261116,2016-04-29T00:00:00.000,Yes,Shallow well,Undefined Shallow Well,,Blue Pump,Improved,Gambia,North Bank,Upper Nuimi,,1992,"FRG, Swegam",,,Community Management,Yearly,Minor leak,,,,,,Keur Malick Nana_2 - PUMP 1,http://mydoforms.appspot.com/imageViewer?blobKey=ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDQjIfTgggM&blobName=eg053s5b7u6laje$$04262016090412$$Published$$570$$P$$1.jpg,,https://catalog.waterpointdata.org/datasets/isf-gambia-for-wpdx-reingestion-5f7e7d73,https://catalog.waterpointdata.org/datafiles/isf-gambia-for-wpdx-reingestion-5f7e7d73.xlsx,,GM,"(13.491113°, -16.261116°)",2020-10-08T02:46:11.000,2020-10-08T02:46:11.000,POINT (-16.261116 13.491113),1,GMB,Gambia,North Bank,Upper Nuimi,,blue pump,shallow well,,,Community Management,community management,Well,
222501,"Institute for Sustainable Futures, University of Technology Sydney",13.556423,-16.241419,2016-05-01T00:00:00.000,No,Shallow well,Undefined Shallow Well,,Mark 2,Improved,Gambia,North Bank,Jokadu,,1984,FRG,,,Community Management,Upon  breakdown,Non-func,,,,,,Keur Ngorr - PUMP 2,http://mydoforms.appspot.com/imageViewer?blobKey=ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDQ7Ijq3gsM&blobName=eg053s5b7u6laje$$04262016090412$$Published$$591$$P$$2.jpg,,https://catalog.waterpointdata.org/datasets/isf-gambia-for-wpdx-reingestion-5f7e7d73,https://catalog.waterpointdata.org/datafiles/isf-gambia-for-wpdx-reingestion-5f7e7d73.xlsx,,GM,"(13.556423°, -16.241419°)",2020-10-08T02:46:11.000,2020-10-08T02:46:11.000,POINT (-16.241419 13.556423),1,GMB,Gambia,North Bank,Jokadu,,mark 2,shallow well,,,Community Management,community management,Well,
222520,"Institute for Sustainable Futures, University of Technology Sydney",13.575537,-16.27913,2016-04-28T00:00:00.000,No,Shallow well,Undefined Shallow Well,,Blue Pump,Improved,Gambia,North Bank,Jokadu,,1987,Swegam,,,Community Management,Upon  breakdown,Non-func,,,,,,Bantanding Wollof - PUMP 1,http://mydoforms.appspot.com/imageViewer?blobKey=ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDQ9LTj4wsM&blobName=eg053s5b7u6laje$$04262016090412$$Published$$560$$P$$3.jpg,,https://catalog.waterpointdata.org/datasets/isf-gambia-for-wpdx-reingestion-5f7e7d73,https://catalog.waterpointdata.org/datafiles/isf-gambia-for-wpdx-reingestion-5f7e7d73.xlsx,,GM,"(13.575537°, -16.27913°)",2020-10-08T02:46:11.000,2020-10-08T02:46:11.000,POINT (-16.27913 13.575537),1,GMB,Gambia,North Bank,Jokadu,,blue pump,shallow well,,,Community Management,community management,Well,
222506,"Institute for Sustainable Futures, University of Technology Sydney",13.558174,-16.393866,2016-04-30T00:00:00.000,Yes,Shallow well,Undefined Shallow Well,,Mark 2,Improved,Gambia,North Bank,Lower Nuimi,,1992,FRG,,,Community Management,Yearly,Major leak,,,,,,Madina Mannen - PUMP 1,http://mydoforms.appspot.com/imageViewer?blobKey=ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDQrJD5rQkM&blobName=eg053s5b7u6laje$$04262016090412$$Published$$582$$P$$1.jpg,,https://catalog.waterpointdata.org/datasets/isf-gambia-for-wpdx-reingestion-5f7e7d73,https://catalog.waterpointdata.org/datafiles/isf-gambia-for-wpdx-reingestion-5f7e7d73.xlsx,,GM,"(13.558174°, -16.393866°)",2020-10-08T02:46:11.000,2020-10-08T02:46:11.000,POINT (-16.393866 13.558174),1,GMB,Gambia,North Bank,Lower Nuimi,,mark 2,shallow well,,,Community Management,community management,Well,
222565,"Institute for Sustainable Futures, University of Technology Sydney",13.372913,-16.660126,2016-04-21T00:00:00.000,Yes,Shallow well,Undefined Shallow Well,,Blue Pump,Improved,Gambia,Western,Kombo North,,1990,"Caritas, Swegam",,,Community Management,Never,No leak,,,,,,Banjulinding - PUMP 1,http://mydoforms.appspot.com/imageViewer?blobKey=ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDQ2OqqngoM&blobName=eg053s5b7u6laje$$04192016205205$$Published$$485$$P$$1.jpg,,https://catalog.waterpointdata.org/datasets/isf-gambia-for-wpdx-reingestion-5f7e7d73,https://catalog.waterpointdata.org/datafiles/isf-gambia-for-wpdx-reingestion-5f7e7d73.xlsx,,GM,"(13.372913°, -16.660126°)",2020-10-08T02:46:11.000,2020-10-08T02:46:11.000,POINT (-16.660126 13.372913),1,GMB,Gambia,Western,Kombo Saint Mary,,blue pump,shallow well,,,Community Management,community management,Well,
222428,"Institute for Sustainable Futures, University of Technology Sydney",13.571339,-16.206642,2016-05-03T00:00:00.000,No,Shallow well,Undefined Shallow Well,,Mark 2,Improved,Gambia,North Bank,Jokadu,,1980,FRG,,,Community Management,Upon  breakdown,Non-func,,,,,,Kerr Amadou Jisse IM2 - PUMP 1,http://mydoforms.appspot.com/imageViewer?blobKey=ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDQnLS16ggM&blobName=eg053s5b7u6laje$$05012016233949$$Published$$613$$P$$1.jpg,,https://catalog.waterpointdata.org/datasets/isf-gambia-for-wpdx-reingestion-5f7e7d73,https://catalog.waterpointdata.org/datafiles/isf-gambia-for-wpdx-reingestion-5f7e7d73.xlsx,,GM,"(13.571339°, -16.206642°)",2020-10-08T02:46:11.000,2020-10-08T02:46:11.000,POINT (-16.206642 13.571339),1,GMB,Gambia,North Bank,Jokadu,,mark 2,shallow well,,,Community Management,community management,Well,
