row_id,source,lat_deg,lon_deg,report_date,status_id,water_source,water_source_clean,water_tech_clean,water_tech,_facility_type,country_name,adm1,adm2,_adm3,install_year,installer,_rehab_year,_rehabilitator,management,pay,status,fecal_coliform_value,fecal_coliform_presence,subjective_quality,activity_id,scheme_id,notes,photo_lnk,orig_lnk,data_lnk,public_data_source,converted,country_id,lat_lon_deg,created_timestamp,updated,geocoded_column,count,clean_country_id,clean_country_name,clean_adm1,clean_adm2,clean_adm3,water_tech_original,water_source_original,lat_deg_original,lon_deg_original,management_clean,management_original,water_source_category,water_tech_category
148442,WASH Liberia,8.30127811,-10.13858545,2017-05-31T00:00:00.000,Unknown,Unprotected dug well,Unprotected Shallow Well,,,Unimproved,Liberia,Lofa County,Kolahun,,,,,,,,,,,,1nr0-9vvj-wpsy,,,https://flowliberia.s3.amazonaws.com/images/02517e78-8017-4b53-a83a-503085fce11e.jpg,https://wash-liberia.org/raw-water-point-data/,https://catalog.waterpointdata.org/datasets/wash-liberia-5f21f322,https://catalog.waterpointdata.org/datafiles/wash-liberia-5f21f322.xlsx,"#water_source, #water_tech, #report_date, #status, #subjective_quality",LR,"(8.30127811°, -10.13858545°)",2020-07-29T22:07:30.000,2020-07-29T22:07:30.000,POINT (-10.13858545 8.30127811),1,LBR,Liberia,Lofa,Kolahun,Tahamba,,unprotected dug well,,,,,Well,
149564,WASH Liberia,8.228479167,-10.16190806,2017-05-31T00:00:00.000,Unknown,Kiosk,,,Kiosk,,Liberia,Lofa County,Kolahun,,,,,,,,,,,,fqtk-autw-0mdq,,,https://flowliberia.s3.amazonaws.com/images/e9bf7563-8868-42f0-9c8e-03654a9248a9.jpg,https://wash-liberia.org/raw-water-point-data/,https://catalog.waterpointdata.org/datasets/wash-liberia-5f21f322,https://catalog.waterpointdata.org/datafiles/wash-liberia-5f21f322.xlsx,"#water_source, #water_tech, #report_date, #status, #subjective_quality",LR,"(8.22848389°, -10.16190924°)",2020-07-29T22:07:30.000,2020-07-29T22:07:30.000,POINT (-10.161908055555555 8.228479166666666),1,LBR,Liberia,Lofa,Kolahun,Wawoma,kiosk,,8.22848389,-10.16190924,,,,
150690,WASH Liberia,7.10256215,-8.89554354,2017-05-31T00:00:00.000,Unknown,Unprotected dug well,Unprotected Shallow Well,,,Unimproved,Liberia,Nimba County,Leewehpea-Mahn,,,,,,,,,,,,jrh6-j7n9-3sub,,,https://flowliberia.s3.amazonaws.com/images/783fbbd8-e92c-41c0-ad34-a48321652565.jpg,https://wash-liberia.org/raw-water-point-data/,https://catalog.waterpointdata.org/datasets/wash-liberia-5f21f322,https://catalog.waterpointdata.org/datafiles/wash-liberia-5f21f322.xlsx,"#water_source, #water_tech, #report_date, #status, #subjective_quality",LR,"(7.10256215°, -8.89554354°)",2020-07-29T22:07:30.000,2020-07-29T22:07:30.000,POINT (-8.89554354 7.10256215),1,LBR,Liberia,Nimba,Saclepea,Gbannah,,unprotected dug well,,,,,Well,
151031,WASH Liberia,6.869293611,-10.82009167,2017-05-31T00:00:00.000,Unknown,Unprotected spring,Unprotected Spring,,,Unimproved,Liberia,Bomi County,Senjeh,,,,,,,,,,,,5p6q-d1fu-sae3,,,https://flowliberia.s3.amazonaws.com/images/43bbec1d-23ec-48c0-b6d3-041c60f289e3.jpg,https://wash-liberia.org/raw-water-point-data/,https://catalog.waterpointdata.org/datasets/wash-liberia-5f21f322,https://catalog.waterpointdata.org/datafiles/wash-liberia-5f21f322.xlsx,"#water_source, #water_tech, #report_date, #status, #subjective_quality",LR,"(6.86929365°, -10.82009181°)",2020-07-29T22:07:30.000,2020-07-29T22:07:30.000,POINT (-10.820091666666666 6.869293611111112),1,LBR,Liberia,Bomi,Klay,Senjeh,,unprotected spring,6.86929365,-10.82009181,,,Spring,
187022,Living Water International,6.23285,-10.501983,2019-03-20T00:00:00.000,Yes,Borehole,Borehole,,,Improved,Liberia,,,,2016,,,,,,,,,,2885,,,,,https://catalog.waterpointdata.org/datasets/living-water-international-global-update-2019-2020-603966e7,https://catalog.waterpointdata.org/datafiles/living-water-international-global-update-2019-2020-603966e7.xlsx,,LR,"(6.23285°, -10.501983°)",2021-02-26T21:23:51.000,2021-02-26T21:23:51.000,POINT (-10.501983 6.23285),1,LBR,Liberia,Margibi,Mambah-Kaba,Kpay,,borehole,,,,,Well,
187044,Living Water International,6.2675,-10.661917,2018-08-10T00:00:00.000,Yes,Borehole,Borehole,,,Improved,Liberia,,,,2015,,,,,,,,,,2813,,,,,https://catalog.waterpointdata.org/datasets/living-water-international-global-update-2019-2020-603966e7,https://catalog.waterpointdata.org/datafiles/living-water-international-global-update-2019-2020-603966e7.xlsx,,LR,"(6.2675°, -10.661917°)",2021-02-26T21:23:51.000,2021-02-26T21:23:51.000,POINT (-10.661917 6.2675),1,LBR,Liberia,Montserrado,Greater Monrovia,Monrovia,,borehole,,,,,Well,
187493,Living Water International,7.247298,-8.981463,2019-11-06T00:00:00.000,Yes,Latrine,,,,,Liberia,,,,2019,,,,,,,,,,6663,,,,,https://catalog.waterpointdata.org/datasets/living-water-international-global-update-2019-2020-603966e7,https://catalog.waterpointdata.org/datafiles/living-water-international-global-update-2019-2020-603966e7.xlsx,,LR,"(7.247298°, -8.981463°)",2021-02-26T21:23:51.000,2021-02-26T21:23:51.000,POINT (-8.981463 7.247298),1,LBR,Liberia,Nimba,Sanniquelleh-Mahn,Bain,,,,,,,,
535086,Living Water International,6.5432,-10.3563,2015-04-02T00:00:00.000,Yes,Borehole,Borehole,,Afridev,Improved,Liberia,,,,2015,,,,,,,,,,LR150127LOI002008LWL,,,,,https://catalog.waterpointdata.org/datasets/test-5f17499e,https://catalog.waterpointdata.org/datafiles/test-5f17499e.csv,,LR,"(6.5432°, -10.3563°)",2020-07-21T20:01:34.000,2020-07-21T20:01:34.000,POINT (-10.3563 6.5432),1,LBR,Liberia,Margibi,Kakata,Weamaquelleh/Larkay,afridev,borehole,,,,,Well,
33901,WASH Liberia,6.093029,-9.646718,2011-01-26T00:00:00.000,No,Manual pump on hand-dug well,Protected Shallow Well,,Afridev,Unknown,Liberia,Grand Bassa,,,2009,LACE,,,,,Broken Down System Pump broken,,,Colored: Brownish,,,,http://flowliberia.s3.amazonaws.com/images/wfpPhoto641874520122.jpg,https://wash-liberia.org/raw-water-point-data/,https://catalog.waterpointdata.org/datasets/wash-liberia-wins-5f21fe8d,https://catalog.waterpointdata.org/datafiles/wash-liberia-wins-5f21fe8d.xlsx,"#installer, #management, #pay, #status",LR,"(6.093029°, -9.646718°)",2020-07-29T22:56:13.000,2020-07-29T22:56:13.000,POINT (-9.646718 6.093029),1,LBR,Liberia,GrandBassa,District # 4,Gainda/Ganna,,manual pump on hand-dug well,,,,,Well,
34326,WASH Liberia,8.130501,-10.314214,2011-01-20T00:00:00.000,Yes,Manual pump on hand-dug well,Protected Shallow Well,,Afridev,Unknown,Liberia,Lofa,,,2009,PLAN Libria,,,Community Management,,Working but with problems Well damaged|Break in flow,,,Soft / Clean / Sweet,,,,http://flowliberia.s3.amazonaws.com/images/wfpPhoto961236688413.jpg,https://wash-liberia.org/raw-water-point-data/,https://catalog.waterpointdata.org/datasets/wash-liberia-wins-5f21fe8d,https://catalog.waterpointdata.org/datafiles/wash-liberia-wins-5f21fe8d.xlsx,"#installer, #management, #pay, #status",LR,"(8.130501°, -10.314214°)",2020-07-29T22:56:13.000,2020-07-29T22:56:13.000,POINT (-10.314214 8.130501),1,LBR,Liberia,Lofa,Kolahun,Hassala,,manual pump on hand-dug well,,,Community Management,community management,Well,
34175,WASH Liberia,6.271434,-10.348159,2011-05-21T00:00:00.000,Yes,Manual pump on hand-dug well,Protected Shallow Well,,Afridev,Unknown,Liberia,Margibi,,,1991,ACF (Action Contre la Faim) aicf,,,Other,,Working and protected Not damaged,,,Salty,,,,http://flowliberia.s3.amazonaws.com/images/wfpPhoto3834296498773.jpg,https://wash-liberia.org/raw-water-point-data/,https://catalog.waterpointdata.org/datasets/wash-liberia-wins-5f21fe8d,https://catalog.waterpointdata.org/datafiles/wash-liberia-wins-5f21fe8d.xlsx,"#installer, #management, #pay, #status",LR,"(6.271434°, -10.348159°)",2020-07-29T22:56:13.000,2020-07-29T22:56:13.000,POINT (-10.348159 6.271434),1,LBR,Liberia,Margibi,Firestone,Firestone,,manual pump on hand-dug well,,,Other,other,Well,
33953,WASH Liberia,6.924175,-10.658138,2011-02-08T00:00:00.000,Yes,Manual pump on borehole,Borehole,,Afridev,Improved,Liberia,Gbarpolu,,,2007,Living Water L i v i n g  w a t e r  I n t l,,,Community Management,,Working and protected Not damaged,,,Soft / Clean / Sweet,,,,http://flowliberia.s3.amazonaws.com/images/wfpPhoto693827843412.jpg,https://wash-liberia.org/raw-water-point-data/,https://catalog.waterpointdata.org/datasets/wash-liberia-wins-5f21fe8d,https://catalog.waterpointdata.org/datafiles/wash-liberia-wins-5f21fe8d.xlsx,"#installer, #management, #pay, #status",LR,"(6.924175°, -10.658138°)",2020-07-29T22:56:13.000,2020-07-29T22:56:13.000,POINT (-10.658138 6.924175),1,LBR,Liberia,Gbapolu,Bopolu,Gungbeyah,,manual pump on borehole,,,Community Management,community management,Well,
34025,WASH Liberia,5.777109,-8.341108,2011-01-21T00:00:00.000,Yes,Manual pump on hand-dug well,Protected Shallow Well,,Kardia,Unknown,Liberia,Grand Gedeh,,,2000,Red Cross (ICRC/LNRC) icrc,,,,,Working but with problems Well damaged|Pump broken|Pump stolen|no enough water at time,,,Soft / Clean / Sweet,,,,http://flowliberia.s3.amazonaws.com/images/wfpPhoto881852955131.jpg,https://wash-liberia.org/raw-water-point-data/,https://catalog.waterpointdata.org/datasets/wash-liberia-wins-5f21fe8d,https://catalog.waterpointdata.org/datafiles/wash-liberia-wins-5f21fe8d.xlsx,"#installer, #management, #pay, #status",LR,"(5.777109°, -8.341108°)",2020-07-29T22:56:13.000,2020-07-29T22:56:13.000,POINT (-8.341108 5.777109),1,LBR,Liberia,GrandGedeh,Tchien,Tchien Menson Gorbo,,manual pump on hand-dug well,,,,,Well,
