row_id,source,lat_deg,lon_deg,report_date,status_id,water_source,water_source_clean,water_tech_clean,water_tech,_facility_type,country_name,adm1,adm2,_adm3,install_year,installer,_rehab_year,_rehabilitator,management,pay,status,fecal_coliform_value,fecal_coliform_presence,subjective_quality,activity_id,scheme_id,notes,photo_lnk,orig_lnk,data_lnk,public_data_source,converted,country_id,lat_lon_deg,created_timestamp,updated,geocoded_column,count,clean_country_id,clean_country_name,clean_adm1,clean_adm2,clean_adm3,water_tech_original,water_source_original,lat_deg_original,lon_deg_original,management_clean,management_original,water_source_category,water_tech_category
512819,Medair,-15.3608,49.816,2013-12-20T00:00:00.000,No,,Protected Shallow Well,,Canzee Pump,Improved,Madagascar,,,,2008,Medair,,,,,Poignet en Bois,,,,AKD 11,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#status_id, #lat_deg, #country_id, #water_tech, #source, #report_date",MG,"(-15.3608°, 49.816°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (49.816 -15.3608),1,MDG,Madagascar,Toamasina,Analanjirofo,Maroansetra,canzee pump,,,,,,Well,
512259,Medair,-15.3862,49.7959,2014-02-26T00:00:00.000,Yes,,Protected Shallow Well,,Canzee Pump,Improved,Madagascar,,,,2008,Medair,,,,,N?ant,,,,AKZ 09,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#status_id, #lat_deg, #country_id, #water_tech, #source, #report_date",MG,"(-15.3862°, 49.7959°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (49.7959 -15.3862),1,MDG,Madagascar,Toamasina,Analanjirofo,Maroansetra,canzee pump,,,,,,Well,
513825,Medair,-15.3518,49.7057,2013-07-22T00:00:00.000,Yes,,Protected Shallow Well,,Canzee Pump,Improved,Madagascar,,,,2010,Medair,,,,,valve,,,,MRA 04,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#status_id, #lat_deg, #country_id, #water_tech, #source, #report_date",MG,"(-15.3518°, 49.7057°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (49.7057 -15.3518),1,MDG,Madagascar,Toamasina,Analanjirofo,Maroansetra,canzee pump,,,,,,Well,
513565,Medair,-15.3338,49.8022,2013-09-22T00:00:00.000,Yes,,Protected Shallow Well,,Canzee Pump,Improved,Madagascar,,,,2008,Medair,,,,,N?ant,,,,ATK 07,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#status_id, #lat_deg, #country_id, #water_tech, #source, #report_date",MG,"(-15.3338°, 49.8022°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (49.8022 -15.3338),1,MDG,Madagascar,Toamasina,Analanjirofo,Maroansetra,canzee pump,,,,,,Well,
512594,Medair,-15.4293,49.8067,2014-03-29T00:00:00.000,Yes,,Protected Shallow Well,,Canzee Pump,Improved,Madagascar,,,,2004,Medair,,,,,Poignet en Bois,,,,AF 18,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#status_id, #lat_deg, #country_id, #water_tech, #source, #report_date",MG,"(-15.4293°, 49.8067°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (49.8067 -15.4293),1,MDG,Madagascar,Toamasina,Analanjirofo,Maroansetra,canzee pump,,,,,,Well,
511844,Medair,-15.42,49.6859,2014-05-17T00:00:00.000,Yes,,Protected Shallow Well,,Canzee Pump,Improved,Madagascar,,,,2011,M. sur?lev?,,,,,N?ant,,,,ABD - 03,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#status_id, #lat_deg, #country_id, #water_tech, #source, #report_date",MG,"(-15.42°, 49.6859°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (49.6859 -15.42),1,MDG,Madagascar,Toamasina,Analanjirofo,Maroansetra,canzee pump,,,,,,Well,
512295,Medair,-15.3434,49.6754,2013-08-16T00:00:00.000,Yes,,Protected Shallow Well,,Canzee Pump,Improved,Madagascar,,,,2010,Medair,,,,,Poign?e en bois,,,,ADK 04,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#status_id, #lat_deg, #country_id, #water_tech, #source, #report_date",MG,"(-15.3434°, 49.6754°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (49.6754 -15.3434),1,MDG,Madagascar,Toamasina,Analanjirofo,Maroansetra,canzee pump,,,,,,Well,
512331,Medair,-15.4213,49.7958,2014-04-14T00:00:00.000,Yes,,Protected Shallow Well,,Canzee Pump,Improved,Madagascar,,,,2004,Medair,,,,,N?ant,,,,AB 03,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#status_id, #lat_deg, #country_id, #water_tech, #source, #report_date",MG,"(-15.4213°, 49.7958°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (49.7958 -15.4213),1,MDG,Madagascar,Toamasina,Analanjirofo,Maroansetra,canzee pump,,,,,,Well,
513105,Medair,-15.3514,49.577,2014-05-26T00:00:00.000,Yes,,Protected Shallow Well,,Canzee Pump,Improved,Madagascar,,,,2011,Medair,,,,,N?ant,,,,N?04,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#status_id, #lat_deg, #country_id, #water_tech, #source, #report_date",MG,"(-15.3514°, 49.577°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (49.577 -15.3514),1,MDG,Madagascar,Toamasina,Analanjirofo,Maroansetra,canzee pump,,,,,,Well,
512910,Medair,-15.3338,49.8036,2013-09-27T00:00:00.000,Yes,,Protected Shallow Well,,Canzee Pump,Improved,Madagascar,,,,2008,Medair,,,,,N?ant,,,,ATK 12,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#status_id, #lat_deg, #country_id, #water_tech, #source, #report_date",MG,"(-15.3338°, 49.8036°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (49.8036 -15.3338),1,MDG,Madagascar,Toamasina,Analanjirofo,Maroansetra,canzee pump,,,,,,Well,
512077,Medair,-15.3344,49.804,2013-09-25T00:00:00.000,No,,Protected Shallow Well,,Canzee Pump,Improved,Madagascar,,,,2008,Medair,,,,,Robinet casser,,,,ATK 10,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#status_id, #lat_deg, #country_id, #water_tech, #source, #report_date",MG,"(-15.3344°, 49.804°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (49.804 -15.3344),1,MDG,Madagascar,Toamasina,Analanjirofo,Maroansetra,canzee pump,,,,,,Well,
513052,SEED Madagascar,-24.8376,47.0894,2012-12-11T00:00:00.000,No,,Protected Shallow Well,,Canzee pump,Improved,Madagascar,,,,,,,,,,,,,,,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#lat_deg,#lon_deg,#status_id,#report_date,#source,#country_id",MG,"(-24.8376°, 47.0894°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (47.0894 -24.8376),1,MDG,Madagascar,Toliary,Anosy,Taolagnaro,canzee pump,,,,,,Well,
512637,Medair,-15.3647,49.806,2013-10-12T00:00:00.000,Yes,,Protected Shallow Well,,Canzee Pump,Improved,Madagascar,,,,2007,Medair,,,,,Poignet en Bois,,,,AKD (LNFT),,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#status_id, #lat_deg, #country_id, #water_tech, #source, #report_date",MG,"(-15.3647°, 49.806°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (49.806 -15.3647),1,MDG,Madagascar,Toamasina,Analanjirofo,Maroansetra,canzee pump,,,,,,Well,
512838,Medair,-15.4195,49.7969,2014-04-27T00:00:00.000,No,,Protected Shallow Well,,Canzee Pump,Improved,Madagascar,,,,2004,Medair,,,,,Tige Inox coup?,,,,AB 51/30,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#status_id, #lat_deg, #country_id, #water_tech, #source, #report_date",MG,"(-15.4195°, 49.7969°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (49.7969 -15.4195),1,MDG,Madagascar,Toamasina,Analanjirofo,Maroansetra,canzee pump,,,,,,Well,
513238,Medair,-15.4123,49.668,2014-06-05T00:00:00.000,Yes,,Protected Shallow Well,,Canzee Pump,Improved,Madagascar,,,,2013,M. sur?lev?,,,,,N?ant,,,,MJL 01,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#status_id, #lat_deg, #country_id, #water_tech, #source, #report_date",MG,"(-15.4123°, 49.668°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (49.668 -15.4123),1,MDG,Madagascar,Toamasina,Analanjirofo,Maroansetra,canzee pump,,,,,,Well,
511824,Medair,-15.4262,49.8054,2014-03-16T00:00:00.000,No,,Protected Shallow Well,,Canzee Pump,Improved,Madagascar,,,,2004,Medair,,,,,Poignet en Bois,,,,AF 05,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#status_id, #lat_deg, #country_id, #water_tech, #source, #report_date",MG,"(-15.4262°, 49.8054°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (49.8054 -15.4262),1,MDG,Madagascar,Toamasina,Analanjirofo,Maroansetra,canzee pump,,,,,,Well,
513812,SEED Madagascar,-24.8695,47.0482,2012-12-12T00:00:00.000,Yes,,Protected Shallow Well,,Canzee pump,Improved,Madagascar,,,,,,,,,,,,,,,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#lat_deg,#lon_deg,#status_id,#report_date,#source,#country_id",MG,"(-24.8695°, 47.0482°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (47.0482 -24.8695),1,MDG,Madagascar,Toliary,Anosy,Taolagnaro,canzee pump,,,,,,Well,
512453,Medair,-15.338,49.8294,2014-01-21T00:00:00.000,No,,Protected Shallow Well,,Canzee Pump,Improved,Madagascar,,,,2013,Medair,,,,,Poignet en bois et caoutchou de valve,,,,APH 12,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#status_id, #lat_deg, #country_id, #water_tech, #source, #report_date",MG,"(-15.338°, 49.8294°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (49.8294 -15.338),1,MDG,Madagascar,Toamasina,Analanjirofo,Maroansetra,canzee pump,,,,,,Well,
512722,SEED Madagascar,-24.7808,47.1713,2012-12-10T00:00:00.000,Yes,,Protected Shallow Well,,Canzee pump,Improved,Madagascar,,,,,,,,,,,,,,,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#lat_deg,#lon_deg,#status_id,#report_date,#source,#country_id",MG,"(-24.7808°, 47.1713°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (47.1713 -24.7808),1,MDG,Madagascar,Toliary,Anosy,Taolagnaro,canzee pump,,,,,,Well,
512650,Medair,-15.4296,49.8051,2014-02-04T00:00:00.000,Yes,,Protected Shallow Well,,Canzee Pump,Improved,Madagascar,,,,2004,Medair,,,,,Poignet en Bois,,,,AF 22,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#status_id, #lat_deg, #country_id, #water_tech, #source, #report_date",MG,"(-15.4296°, 49.8051°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (49.8051 -15.4296),1,MDG,Madagascar,Toamasina,Analanjirofo,Maroansetra,canzee pump,,,,,,Well,
512614,Medair,-15.3344,49.8029,2013-09-18T00:00:00.000,No,,Protected Shallow Well,,Canzee Pump,Improved,Madagascar,,,,2008,Medair,,,,,Robinet casser,,,,ATK 03,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#status_id, #lat_deg, #country_id, #water_tech, #source, #report_date",MG,"(-15.3344°, 49.8029°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (49.8029 -15.3344),1,MDG,Madagascar,Toamasina,Analanjirofo,Maroansetra,canzee pump,,,,,,Well,
513829,Medair,-15.2865,49.8241,2013-11-16T00:00:00.000,No,,Protected Shallow Well,,Canzee Pump,Improved,Madagascar,,,,2008,Medair,,,,,Sans tuyau 32mm sur le lave main & vanne d'arr?t de robinet casser,,,,SKT 01,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#status_id, #lat_deg, #country_id, #water_tech, #source, #report_date",MG,"(-15.2865°, 49.8241°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (49.8241 -15.2865),1,MDG,Madagascar,Toamasina,Analanjirofo,Maroansetra,canzee pump,,,,,,Well,
