FID,the_geom,bh_id,completion,type,country,lat,long,location,elevation,aquifer,depth_m,yield_m3_h,strike_m,tds_mg_l,samdate_td,so4_mg_l,samdate_so,NO3_mg_l,samdate_NO,f_mg_l,samdate_f,t_m2_d,ec_ms_m,samdate_ec,wl_mbgl,samdate_wl,delta_D,samdate_de,delta_O,samdate__1,tritium_T,plus_minus,samdate_T,_14C,plus_min_1,samdate_14,MRT_years
stasboreholes.1,POINT (20.0112 -24.2573),NO ID,1986,-9999.99,BOTSWANA,-24.2573,20.0112,-9999.99,1147,KALAHARI,-9999.99,10.8,-9999.99,46850,-9999.99,32,-9999.99,0,-9999.99,4.42,-9999.99,-9999.99,83.8,-9999.99,83,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.2,POINT (20.80833 -26.03056),A786,1954,BOREHOLE,SOUTH AFRICA,-26.03056,20.80833,-9999.99,910,KALAHARI,62,-9999.99,-9999.99,43838,-9999.99,6832.6,-9999.99,10.38,-9999.99,5.43,-9999.99,-9999.99,-9999.99,-9999.99,32.09,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.3,POINT (20.82966 -26.02264),KGNP7,-9999.99,-9999.99,SOUTH AFRICA,-26.02264,20.82966,KRANSBRAK (DUP NAME 2515),900,NOSSOB,115,-9999.99,-9999.99,43202,12/1/1982,6947.6,12/1/1982,19.03,12/1/1982,4.53,12/1/1982,-9999.99,5440,-9999.99,34.35,12/1/1982,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.4,POINT (20.82966 -26.02264),KGNP7,-9999.99,,SOUTH AFRICA,-26.02264,20.82966,KRANSBRAK (DUP NAME 2515),900,NOSSOB,-9999.99,-9999.99,-9999.99,43202,-9999.99,6947.6,-9999.99,19.03,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.5,POINT (20.48889 -23.60694),BH6188,1988,-9999.99,BOTSWANA,-23.60694,20.48889,Ukwi,1230,KALAHARI,64,7.2,-9999.99,41298,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,650.4,-9999.99,59,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.6,POINT (19.8261 -25.59461),NO ID,-9999.99,-9999.99,NAMIBIA,-25.59461,19.8261,R0494,990,KALAHARI,61,-9999.99,-9999.99,33613,11/23/1999,4430,11/23/1999,0.2,11/23/1999,1.5,11/23/1999,-9999.99,-9999.99,-9999.99,-9999.99,11/23/1999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.7,POINT (19.43324 -25.46148),J8N/39856,-9999.99,MONITORING,NAMIBIA,-25.46148,19.43324,-9999.99,1021,NOSSOB,346,-9999.99,-9999.99,33500,7/1/2000,8500,7/1/2000,0.4,7/1/2000,0.8,7/1/2000,0.02,6000,-9999.99,20.8,7/1/2000,-41,9/16/2000,-4.52,9/16/2000,-9999.99,-9999.99,-9999.99,26.51,0.77,9/16/2000,10100
stasboreholes.8,POINT (20.725 -25.74389),A915,-9999.99,BOREHOLE,SOUTH AFRICA,-25.74389,20.725,-9999.99,920,KALAHARI,-9999.99,-9999.99,-9999.99,32586,-9999.99,6573,-9999.99,6.19,-9999.99,2.61,-9999.99,-9999.99,-9999.99,-9999.99,48.5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.9,POINT (20.08333 -26.15),NO ID,-9999.99,BOREHOLE,SOUTH AFRICA,-26.15,20.08333,-9999.99,-9999.99,KALAHARI,-9999.99,-9999.99,-9999.99,31590,-9999.99,11681.1,-9999.99,1,-9999.99,5.26,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.10,POINT (20.01 -25.63611),NO ID,-9999.99,BOREHOLE,SOUTH AFRICA,-25.63611,20.01,-9999.99,-9999.99,KALAHARI,-9999.99,-9999.99,-9999.99,31556,-9999.99,1504,-9999.99,0.12,-9999.99,2.73,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.11,POINT (20.285 -25.33333),A1117,1949,BOREHOLE,SOUTH AFRICA,-25.33333,20.285,-9999.99,1000,KALAHARI,153,-9999.99,-9999.99,28093,-9999.99,9942.4,-9999.99,9.51,-9999.99,0.92,-9999.99,-9999.99,-9999.99,-9999.99,107.04,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.12,POINT (20.71083 -25.74306),A964,-9999.99,BOREHOLE,SOUTH AFRICA,-25.74306,20.71083,-9999.99,940,KALAHARI,47,-9999.99,-9999.99,27186,-9999.99,5060.5,-9999.99,7.62,-9999.99,6.73,-9999.99,-9999.99,-9999.99,-9999.99,40.2,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.13,POINT (20.2975 -25.405),A1064,-9999.99,BOREHOLE,SOUTH AFRICA,-25.405,20.2975,-9999.99,1000,KALAHARI,-9999.99,-9999.99,-9999.99,26783,-9999.99,7592,-9999.99,0.16,-9999.99,4.51,-9999.99,-9999.99,-9999.99,-9999.99,96.37,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.14,POINT (20.85417 -26.14528),A629,-9999.99,BOREHOLE,SOUTH AFRICA,-26.14528,20.85417,-9999.99,920,KALAHARI,85,0.35,75,25985,-9999.99,5183.7,-9999.99,50.56,-9999.99,4.76,-9999.99,-9999.99,-9999.99,-9999.99,65,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.15,POINT (20.00139 -26.00556),A808,-9999.99,BOREHOLE,SOUTH AFRICA,-26.00556,20.00139,-9999.99,960,KALAHARI,95,-9999.99,-9999.99,25039,-9999.99,4902.8,-9999.99,197.02,-9999.99,19.76,-9999.99,-9999.99,-9999.99,-9999.99,87,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.16,POINT (20.38028 -26.29778),A128,-9999.99,BOREHOLE,SOUTH AFRICA,-26.29778,20.38028,-9999.99,920,KALAHARI,-9999.99,-9999.99,-9999.99,22921,-9999.99,2292.9,-9999.99,53.72,-9999.99,42.05,-9999.99,-9999.99,-9999.99,-9999.99,71.74,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.17,POINT (20.38333 -26.29583),A66,-9999.99,BOREHOLE,SOUTH AFRICA,-26.29583,20.38333,-9999.99,920,KALAHARI,-9999.99,-9999.99,-9999.99,22466,-9999.99,2596.3,-9999.99,111.3,-9999.99,39.63,-9999.99,-9999.99,-9999.99,-9999.99,72,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.18,POINT (20.15556 -25.90278),A895,1999,BOREHOLE,SOUTH AFRICA,-25.90278,20.15556,-9999.99,950,KALAHARI,150,10,-9999.99,21746,-9999.99,4696.4,-9999.99,220.67,-9999.99,6.95,-9999.99,-9999.99,-9999.99,-9999.99,58,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.19,POINT (20.38 -26.29778),A106,-9999.99,BOREHOLE,SOUTH AFRICA,-26.29778,20.38,-9999.99,920,KALAHARI,-9999.99,-9999.99,-9999.99,20478,-9999.99,2005.7,-9999.99,77.3,-9999.99,38.64,-9999.99,-9999.99,-9999.99,-9999.99,72.56,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.20,POINT (20.41472 -25.56389),A1063,2002,BOREHOLE,SOUTH AFRICA,-25.56389,20.41472,-9999.99,950,KALAHARI,69,-9999.99,65,19858,-9999.99,4831.2,-9999.99,26.41,-9999.99,2.16,-9999.99,-9999.99,-9999.99,-9999.99,51.05,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.21,POINT (20.63722 -25.77472),A928,-9999.99,BOREHOLE,SOUTH AFRICA,-25.77472,20.63722,-9999.99,910,KALAHARI,-9999.99,-9999.99,-9999.99,19420,-9999.99,4858,-9999.99,22.53,-9999.99,3.51,-9999.99,-9999.99,-9999.99,-9999.99,34.34,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.22,POINT (20.49306 -25.22861),A1179,-9999.99,BOREHOLE,SOUTH AFRICA,-25.22861,20.49306,-9999.99,990,KALAHARI,-9999.99,-9999.99,-9999.99,19006,-9999.99,5112.4,-9999.99,4.97,-9999.99,1.44,-9999.99,-9999.99,-9999.99,-9999.99,75.08,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.23,POINT (20.59111 -25.44361),A1055,-9999.99,BOREHOLE,SOUTH AFRICA,-25.44361,20.59111,-9999.99,960,KALAHARI,79,-9999.99,-9999.99,18858,-9999.99,5053.2,-9999.99,1.72,-9999.99,1.3,-9999.99,-9999.99,-9999.99,-9999.99,66.15,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.24,POINT (20.22 -25.07222),A1199,-9999.99,BOREHOLE,SOUTH AFRICA,-25.07222,20.22,-9999.99,1010,KALAHARI,-9999.99,-9999.99,-9999.99,17885,-9999.99,6064.4,-9999.99,3.37,-9999.99,7.01,-9999.99,-9999.99,-9999.99,-9999.99,60.93,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.25,POINT (20.34944 -26.275),A249,-9999.99,BOREHOLE,SOUTH AFRICA,-26.275,20.34944,-9999.99,900,KALAHARI,-9999.99,-9999.99,-9999.99,17644,-9999.99,1678.2,-9999.99,79.24,-9999.99,26.64,-9999.99,-9999.99,-9999.99,-9999.99,36.3,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.26,POINT (20.35556 -26.24444),NO ID,-9999.99,BOREHOLE,SOUTH AFRICA,-26.24444,20.35556,-9999.99,-9999.99,KALAHARI,-9999.99,-9999.99,-9999.99,17497,-9999.99,1641.8,-9999.99,56.45,-9999.99,52.64,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.27,POINT (20.44722 -26.35833),A27,-9999.99,BOREHOLE,SOUTH AFRICA,-26.35833,20.44722,-9999.99,920,KALAHARI,-9999.99,-9999.99,-9999.99,17122,-9999.99,2460.8,-9999.99,67.45,-9999.99,16.64,-9999.99,-9999.99,-9999.99,-9999.99,60,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
