row_id,source,lat_deg,lon_deg,report_date,status_id,water_source,water_source_clean,water_tech_clean,water_tech,_facility_type,country_name,adm1,adm2,_adm3,install_year,installer,_rehab_year,_rehabilitator,management,pay,status,fecal_coliform_value,fecal_coliform_presence,subjective_quality,activity_id,scheme_id,notes,photo_lnk,orig_lnk,data_lnk,public_data_source,converted,country_id,lat_lon_deg,created_timestamp,updated,geocoded_column,count,clean_country_id,clean_country_name,clean_adm1,clean_adm2,clean_adm3,water_tech_original,water_source_original,lat_deg_original,lon_deg_original,management_clean,management_original,water_source_category,water_tech_category
151712,"Ministry of Water Resources, Sierra Leone",8.658983,-11.060098,2012-03-27T00:00:00.000,No,Protected Well (no pump),Protected Shallow Well,,Bucket,Unimproved,Sierra Leone,Eastern,Kono,,2008,NaCSA,,,Noone,No water,broken down,,,,,,Dry Always / Never water…N/A…Nimikoro…Bafinfeh…N/A,,,https://catalog.waterpointdata.org/datasets/mowr-sierra-leone-2012-for-wpdx-reingestion-5f2b3405,https://catalog.waterpointdata.org/datafiles/mowr-sierra-leone-2012-for-wpdx-reingestion-5f2b3405.csv,"#status_id, #water_source, #status, #subjective_quality",SL,"(8.658983°, -11.060098°)",2020-08-05T22:34:45.000,2020-08-05T22:34:45.000,POINT (-11.060098 8.658983),1,SLE,Sierra Leone,Eastern,Kono,Nimikoro,bucket,protected well (no pump),,,No Management,noone,Well,
195104,GOAL,8.015033333,-11.11185,2010-12-31T00:00:00.000,No,Pumped gravity stand-post,,,,,Sierra Leone,Eastern,Kenema,,1984,WATER AID,,,,,Functional,,,,,,Enough…Ngelehun…Nongowa……,,,https://catalog.waterpointdata.org/datasets/goal-kenema-water-inventory-2010-for-wpdx-ingestion-5f228661,https://catalog.waterpointdata.org/datafiles/goal-kenema-water-inventory-2010-for-wpdx-ingestion-5f228661.xlsx,"#install_year, #notes",SL,"(8.01503333333°, -11.11185°)",2020-07-30T08:35:45.000,2020-07-30T08:35:45.000,POINT (-11.11185 8.01503333333),1,SLE,Sierra Leone,Eastern,Kenema,Nongowa,pumped gravity stand-post,,,,,,,
195858,"Ministry of Water Resources, Sierra Leone",8.463728,-12.212742,2012-03-17T00:00:00.000,Yes,Water Kiosk with Tank,,,,,Sierra Leone,Northern,Tonkolili,,2008,S L R A,,,S L R A,No water,functional,,,,,,Seasonal…N/A…Yoni…Gaindema…N/A,,,https://catalog.waterpointdata.org/datasets/mowr-sierra-leone-2012-for-wpdx-reingestion-5f2b3405,https://catalog.waterpointdata.org/datafiles/mowr-sierra-leone-2012-for-wpdx-reingestion-5f2b3405.csv,"#status_id, #water_source, #status, #subjective_quality",SL,"(8.463728°, -12.212742°)",2020-08-05T22:34:45.000,2020-08-05T22:34:45.000,POINT (-12.212742 8.463728),1,SLE,Sierra Leone,Northern,Tonkolili,Yoni,water kiosk with tank,,,,,,,
196620,"Ministry of Water Resources, Sierra Leone",8.004183,-12.230648,2012-02-14T00:00:00.000,No,Hand-dug well,Undefined Shallow Well,,Inkar,Unknown,Sierra Leone,Southern,Moyamba,,,,,,,No- water is free,broken down,,,Clean (good smell- taste and color),,,Seasonal…N/A…Dasse…Taninahun Kapuima…N/A,,,https://catalog.waterpointdata.org/datasets/mowr-sierra-leone-2012-for-wpdx-reingestion-5f2b3405,https://catalog.waterpointdata.org/datafiles/mowr-sierra-leone-2012-for-wpdx-reingestion-5f2b3405.csv,"#status_id, #water_source, #status, #subjective_quality",SL,"(8.004183°, -12.230648°)",2020-08-05T22:34:45.000,2020-08-05T22:34:45.000,POINT (-12.230648 8.004183),1,SLE,Sierra Leone,Southern,Moyamba,Dasse,,hand-dug well,,,,,Well,
198139,"Ministry of Water Resources, Sierra Leone",7.73828,-12.279821,2012-02-14T00:00:00.000,Yes,Borehole,Borehole,,Kardia,Improved,Sierra Leone,Southern,Bonthe,,2007,nasca,,,school commitee,No- water is free,functional,,,Not clean Cloudy color,,,Seasonal…N/A…Imperri…Bigo…N/A,,,https://catalog.waterpointdata.org/datasets/mowr-sierra-leone-2012-for-wpdx-reingestion-5f2b3405,https://catalog.waterpointdata.org/datafiles/mowr-sierra-leone-2012-for-wpdx-reingestion-5f2b3405.csv,"#status_id, #water_source, #status, #subjective_quality",SL,"(7.73828°, -12.279821°)",2020-08-05T22:34:45.000,2020-08-05T22:34:45.000,POINT (-12.279821 7.73828),1,SLE,Sierra Leone,Southern,Bonthe,Imperi,kardia,borehole,,,School Management,school commitee,Well,
234171,Ministry of Basic and Senior Secondary Education - Sierra Leone,7.555334,-11.55617,2019-12-31T00:00:00.000,Unknown,No Water,,,,,Sierra Leone,Southern,Pujehun,,,,,,School,,,,,,,,PUJEHUN DISTRICT COUNCIL PRE PRIMARY SCHOOL,,,https://catalog.waterpointdata.org/datasets/mbsse-sierra-leone-2019-5f9b1917,https://catalog.waterpointdata.org/datafiles/mbsse-sierra-leone-2019-5f9b1917.xlsx,#report_date,SL,"(7.555334°, -11.55617°)",2020-10-29T19:33:43.000,2020-10-29T19:33:43.000,POINT (-11.55617 7.555334),1,SLE,Sierra Leone,Southern,Pujehun,Sowa,,,,,School Management,school,,
394400,GOAL,8.184483333,-11.34115,2010-12-31T00:00:00.000,Unknown,Unprotected Source,,,,,Sierra Leone,Eastern,Kenema,,,,,,,,Functional,,,,,,Seasonal…Boajibu…Simbaru……,,,https://catalog.waterpointdata.org/datasets/goal-kenema-water-inventory-2010-for-wpdx-ingestion-5f228661,https://catalog.waterpointdata.org/datafiles/goal-kenema-water-inventory-2010-for-wpdx-ingestion-5f228661.xlsx,"#install_year, #notes",SL,"(8.18448333333°, -11.34115°)",2020-07-30T08:35:45.000,2020-07-30T08:35:45.000,POINT (-11.34115 8.18448333333),1,SLE,Sierra Leone,Eastern,Kenema,Simbaru,,,,,,,,
394648,"Ministry of Water Resources, Sierra Leone",8.467558889,-13.17971806,2016-09-06T00:00:00.000,Yes,Public tap/standpipe (stand-alone or water kiosk,,,Submersible pump,,Sierra Leone,Western,Western Urban,,2015,OXFAM,,,Uknown,Only after system breakdown,Functional (and in use) No Damages,,,Crystal clear,,,Always water……East III…Grass Field…Community,https://akvoflow-110.s3.amazonaws.com/images/68a9b5cf-d447-4e09-8624-d65dff3e59eb.jpg,https://washdata-sl.org/,https://catalog.waterpointdata.org/datasets/mowr-sierra-leone-2016-for-wpdx-reingestion-5f2d7897,https://catalog.waterpointdata.org/datafiles/mowr-sierra-leone-2016-for-wpdx-reingestion-5f2d7897.xlsx,"#adm1, #adm2, #management, #pay, #report_date, #status, #status_id, #water_source, #water_tech",SL,"(8.46755913°, -13.17971809°)",2020-08-07T15:51:51.000,2020-08-07T15:51:51.000,POINT (-13.179718055555554 8.467558888888888),1,SLE,Sierra Leone,Western,Western Rural,Freetown2,,,8.46755913,-13.17971809,Other,uknown,,
394864,GOAL,8.184916667,-11.34071667,2010-12-31T00:00:00.000,Unknown,Gravity stand-post,,,,,Sierra Leone,Eastern,Kenema,,,SAWACO,,,,,Non functional,,,,,,0…Boajibu…Simbaru……,,,https://catalog.waterpointdata.org/datasets/goal-kenema-water-inventory-2010-for-wpdx-ingestion-5f228661,https://catalog.waterpointdata.org/datafiles/goal-kenema-water-inventory-2010-for-wpdx-ingestion-5f228661.xlsx,"#install_year, #notes",SL,"(8.18491666667°, -11.3407166667°)",2020-07-30T08:35:45.000,2020-07-30T08:35:45.000,POINT (-11.3407166667 8.18491666667),1,SLE,Sierra Leone,Eastern,Kenema,Simbaru,gravity stand-post,,,,,,,
396108,GOAL,7.8246,-11.12521667,2010-12-31T00:00:00.000,Unknown,Gravity stand-post,,,,,Sierra Leone,Eastern,Kenema,,,Water Aid,,,,,Functional,,,,,,Seasonal…Konjo…Dama……,,,https://catalog.waterpointdata.org/datasets/goal-kenema-water-inventory-2010-for-wpdx-ingestion-5f228661,https://catalog.waterpointdata.org/datafiles/goal-kenema-water-inventory-2010-for-wpdx-ingestion-5f228661.xlsx,"#install_year, #notes",SL,"(7.8246°, -11.1252166667°)",2020-07-30T08:35:45.000,2020-07-30T08:35:45.000,POINT (-11.1252166667 7.8246),1,SLE,Sierra Leone,Eastern,Kenema,Dama,gravity stand-post,,,,,,,
