row_id,source,lat_deg,lon_deg,report_date,status_id,water_source,water_source_clean,water_tech_clean,water_tech,_facility_type,country_name,adm1,adm2,_adm3,install_year,installer,_rehab_year,_rehabilitator,management,pay,status,fecal_coliform_value,fecal_coliform_presence,subjective_quality,activity_id,scheme_id,notes,photo_lnk,orig_lnk,data_lnk,public_data_source,converted,country_id,lat_lon_deg,created_timestamp,updated,geocoded_column,count,clean_country_id,clean_country_name,clean_adm1,clean_adm2,clean_adm3,water_tech_original,water_source_original,lat_deg_original,lon_deg_original,management_clean,management_original,water_source_category,water_tech_category
46180,FAO - Somalia Water and Land Information Management,2.82122,45.5421,2002-01-01T00:00:00.000,Yes,,Undefined Shallow Well,,Dugwell,Unknown,Somalia,Middle Shabele,,,,,,,,,,,,,Geedo-Berkern,,,,,https://catalog.waterpointdata.org/datasets/fao-somalia-from-wpdx-for-wpdx-reingestion-609be7d2,https://catalog.waterpointdata.org/datafiles/fao-somalia-from-wpdx-for-wpdx-reingestion-609be7d2.xlsx,"#country_id, #data_lnk, #source, #water_tech, #instal_year",SO,"(2.82122°, 45.5421°)",2021-05-12T14:36:02.000,2021-05-12T14:36:02.000,POINT (45.5421 2.82122),1,SOM,Somalia,Shabeellaha Dhexe,Jawhar,,,dugwell,,,,,Well,
46258,FAO - Somalia Water and Land Information Management,1.91746,44.7756,2006-01-21T00:00:00.000,No,,Undefined Shallow Well,,Dugwell,Unknown,Somalia,Lower Shabele,Afgooye,,,,,,Community Management,,,,,,Mubarak Sidi,,,,,https://catalog.waterpointdata.org/datasets/fao-somalia-from-wpdx-for-wpdx-reingestion-609be7d2,https://catalog.waterpointdata.org/datafiles/fao-somalia-from-wpdx-for-wpdx-reingestion-609be7d2.xlsx,"#country_id, #data_lnk, #source, #water_tech, #instal_year",SO,"(1.91746°, 44.7756°)",2021-05-12T14:36:02.000,2021-05-12T14:36:02.000,POINT (44.7756 1.91746),1,SOM,Somalia,Shabeellaha Hoose,Qoryooley,,,dugwell,,,Community Management,community management,Well,
46089,FAO - Somalia Water and Land Information Management,10.7664,48.0799,2006-10-04T00:00:00.000,Yes,,Undefined Shallow Well,,Dugwell Honda Petrol Pump,Unknown,Somalia,Sanaag,Ceerigaabo,,2002,HORN RELIEF,,,Other,,,,,,Bod oade,,,,,https://catalog.waterpointdata.org/datasets/fao-somalia-from-wpdx-for-wpdx-reingestion-609be7d2,https://catalog.waterpointdata.org/datafiles/fao-somalia-from-wpdx-for-wpdx-reingestion-609be7d2.xlsx,"#country_id, #data_lnk, #source, #water_tech, #instal_year",SO,"(10.7664°, 48.0799°)",2021-05-12T14:36:02.000,2021-05-12T14:36:02.000,POINT (48.0799 10.7664),1,SOM,Somalia,Sanaag,Ceerigaabo,,,dugwell honda petrol pump,,,Other,other,Well,
46084,FAO - Somalia Water and Land Information Management,9.04333,44.5972,2004-07-04T00:00:00.000,Yes,,Undefined Shallow Well,,Dugwell,Unknown,Somalia,Woqooyi Galbeed,,,,,,,,,,,,,unknown 37,,,,,https://catalog.waterpointdata.org/datasets/fao-somalia-from-wpdx-for-wpdx-reingestion-609be7d2,https://catalog.waterpointdata.org/datafiles/fao-somalia-from-wpdx-for-wpdx-reingestion-609be7d2.xlsx,"#country_id, #data_lnk, #source, #water_tech, #instal_year",SO,"(9.04333°, 44.5972°)",2021-05-12T14:36:02.000,2021-05-12T14:36:02.000,POINT (44.5972 9.04333),1,SOM,Somalia,Woqooyi Galbeed,Hargeysa,,,dugwell,,,,,Well,
46188,FAO - Somalia Water and Land Information Management,2.88028,45.5194,2002-01-01T00:00:00.000,Yes,,Undefined Shallow Well,,Dugwell,Unknown,Somalia,Middle Shabele,Jowhar,,,,,,,,,,,,Muryale,,,,,https://catalog.waterpointdata.org/datasets/fao-somalia-from-wpdx-for-wpdx-reingestion-609be7d2,https://catalog.waterpointdata.org/datafiles/fao-somalia-from-wpdx-for-wpdx-reingestion-609be7d2.xlsx,"#country_id, #data_lnk, #source, #water_tech, #instal_year",SO,"(2.88028°, 45.5194°)",2021-05-12T14:36:02.000,2021-05-12T14:36:02.000,POINT (45.5194 2.88028),1,SOM,Somalia,Shabeellaha Dhexe,Jawhar,,,dugwell,,,,,Well,
46087,FAO - Somalia Water and Land Information Management,10.6521,50.5189,2000-01-10T00:00:00.000,Yes,,Undefined Shallow Well,,Dugwell,Unknown,Somalia,Bari,Qandala,,,,,,Other,,,,,,Hamure well,,,,,https://catalog.waterpointdata.org/datasets/fao-somalia-from-wpdx-for-wpdx-reingestion-609be7d2,https://catalog.waterpointdata.org/datafiles/fao-somalia-from-wpdx-for-wpdx-reingestion-609be7d2.xlsx,"#country_id, #data_lnk, #source, #water_tech, #instal_year",SO,"(10.6521°, 50.5189°)",2021-05-12T14:36:02.000,2021-05-12T14:36:02.000,POINT (50.5189 10.6521),1,SOM,Somalia,Bari,Iskushuban,,,dugwell,,,Other,other,Well,
46142,FAO - Somalia Water and Land Information Management,9.54694,45.5189,2006-10-11T00:00:00.000,Yes,Drilledwell,Borehole,,Diesel,Improved,Somalia,Togdheer,Burco,,,,,,,,Fair,,,,B.Water Agency 3,,,,,https://catalog.waterpointdata.org/datasets/fao-somalia-from-wpdx-for-wpdx-reingestion-609be7d2,https://catalog.waterpointdata.org/datafiles/fao-somalia-from-wpdx-for-wpdx-reingestion-609be7d2.xlsx,"#country_id, #data_lnk, #source, #water_tech, #instal_year",SO,"(9.54694°, 45.5189°)",2021-05-12T14:36:02.000,2021-05-12T14:36:02.000,POINT (45.5189 9.54694),1,SOM,Somalia,Togdheer,Burao,,diesel,drilledwell,,,,,Well,
46232,FAO - Somalia Water and Land Information Management,1.66058,44.327,2006-01-19T00:00:00.000,Yes,,Undefined Shallow Well,,Dugwell,Unknown,Somalia,Lower Shabele,Kurtun Waarey,,,,,,Community Management,,,,,,Uranurow Iskashat,,,,,https://catalog.waterpointdata.org/datasets/fao-somalia-from-wpdx-for-wpdx-reingestion-609be7d2,https://catalog.waterpointdata.org/datafiles/fao-somalia-from-wpdx-for-wpdx-reingestion-609be7d2.xlsx,"#country_id, #data_lnk, #source, #water_tech, #instal_year",SO,"(1.66058°, 44.327°)",2021-05-12T14:36:02.000,2021-05-12T14:36:02.000,POINT (44.327 1.66058),1,SOM,Somalia,Shabeellaha Hoose,Kuntuwaaray,,,dugwell,,,Community Management,community management,Well,
46213,FAO - Somalia Water and Land Information Management,1.63805,42.6621,2006-01-19T00:00:00.000,Yes,,Protected Shallow Well,,Dugwell Afridan,Improved,Somalia,Lower Shabele,Kurtun Waarey,,,,,,Community Management,,,,,,Towfiqi,,,,,https://catalog.waterpointdata.org/datasets/fao-somalia-from-wpdx-for-wpdx-reingestion-609be7d2,https://catalog.waterpointdata.org/datafiles/fao-somalia-from-wpdx-for-wpdx-reingestion-609be7d2.xlsx,"#country_id, #data_lnk, #source, #water_tech, #instal_year",SO,"(1.63805°, 42.6621°)",2021-05-12T14:36:02.000,2021-05-12T14:36:02.000,POINT (42.6621 1.63805),1,SOM,Somalia,Jubbada Dhexe,Saakow,,dugwell afridan,dugwell afridan,,,Community Management,community management,Well,
46133,FAO - Somalia Water and Land Information Management,8.9525,46.3617,2006-10-10T00:00:00.000,Yes,Drilledwell,Borehole,Mechanized Pump - Diesel,Fankaline Diesel,Improved,Somalia,Togdheer,Burco,,,,,,,,,,,,Qabri-huluul,,,,,https://catalog.waterpointdata.org/datasets/fao-somalia-from-wpdx-for-wpdx-reingestion-609be7d2,https://catalog.waterpointdata.org/datafiles/fao-somalia-from-wpdx-for-wpdx-reingestion-609be7d2.xlsx,"#country_id, #data_lnk, #source, #water_tech, #instal_year",SO,"(8.9525°, 46.3617°)",2021-05-12T14:36:02.000,2021-05-12T14:36:02.000,POINT (46.3617 8.9525),1,SOM,Somalia,Sool,Caynabo,,fankaline diesel,drilledwell,,,,,Well,Mechanized Pump
