row_id,source,lat_deg,lon_deg,report_date,status_id,water_source,water_source_clean,water_tech_clean,water_tech,_facility_type,country_name,adm1,adm2,_adm3,install_year,installer,_rehab_year,_rehabilitator,management,pay,status,fecal_coliform_value,fecal_coliform_presence,subjective_quality,activity_id,scheme_id,notes,photo_lnk,orig_lnk,data_lnk,public_data_source,converted,country_id,lat_lon_deg,created_timestamp,updated,geocoded_column,count,clean_country_id,clean_country_name,clean_adm1,clean_adm2,clean_adm3,water_tech_original,water_source_original,lat_deg_original,lon_deg_original,management_clean,management_original,water_source_category,water_tech_category
512277,WaterAid Swaziland,-26.3238,31.7071,2018-03-20T00:00:00.000,Yes,,Protected Shallow Well,,Handpump - Afridev,Improved,Swaziland,Hlane,Mbhalenhle,,2015,,,,,,Thembisile Dlamini RHM said the borehole was drilled 2015 and constructed 2016. She also stated that 30 households benefit from the borehole although the water is salty.,,,Portable (The water is salty.),,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#lat_deg, #lon_deg, #water_tech, #report_date, #install_year",SZ,"(-26.3238°, 31.7071°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (31.7071 -26.3238),1,SWZ,Swaziland,Lubombo,Hlane,,handpump - afridev,,,,,,Well,
512542,WaterAid Swaziland,-26.4456,31.7104,2018-03-05T00:00:00.000,Yes,,Protected Shallow Well,,Handpump - Afridev,Improved,Swaziland,Dvokodvweni,Mahlabatsini,,,,,,,,Borehole was constructed 2014 by DWA and covers 75 household. The water quality is good and the borehole was rehabilitated once since construction.,,,Potable,,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#lat_deg, #lon_deg, #water_tech, #report_date, #install_year",SZ,"(-26.4456°, 31.7104°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (31.7104 -26.4456),1,SWZ,Swaziland,Lubombo,Dvokodvweni,,handpump - afridev,,,,,,Well,
513493,WaterAid Swaziland,-26.4014,31.6483,2018-03-12T00:00:00.000,Yes,,Protected Shallow Well,,Handpump - Afridev,Improved,Swaziland,Dvokodvweni,Siweni,,2000,Manti Esive,,,,,Borehole was constructed in 2000 and has not developed mechanical problems. It serves a total of 37 households.,,,Potable,,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#lat_deg, #lon_deg, #water_tech, #report_date, #install_year",SZ,"(-26.4014°, 31.6483°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (31.6483 -26.4014),1,SWZ,Swaziland,Lubombo,Hlane,,handpump - afridev,,,,,,Well,
513413,WaterAid Swaziland,-26.2483,31.6419,2018-03-27T00:00:00.000,Yes,,Protected Shallow Well,,Handpump - India Mark II,Improved,Swaziland,Hlane,Khuphuka,,2016,RSSC,,,,,Borehole was constructed by RSSC and DWA 2016 and the community was told that the borehole has more water Hence it will be pump tested. The water quality is good.,,,Potable,,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#lat_deg, #lon_deg, #water_tech, #report_date, #install_year",SZ,"(-26.2483°, 31.6419°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (31.6419 -26.2483),1,SWZ,Swaziland,Manzini,Mkhiweni,,handpump - india mark ii,,,,,,Well,
512157,WaterAid Swaziland,-26.2531,31.688,2016-09-28T00:00:00.000,Yes,,Protected Shallow Well,,Handpump - Afridev,Improved,Swaziland,Hlane,KaBen,,2017,DWA,,,,,Borehole was constructed in 2017 by DWA and 45 homesteads benefit from the borehole. Borehole has not been rehabilitated since its construction. Pump testing was not done hence the community is not aware of the borehole yield.,,,Potable,,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#lat_deg, #lon_deg, #water_tech, #report_date, #install_year",SZ,"(-26.2531°, 31.688°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (31.688 -26.2531),1,SWZ,Swaziland,Manzini,Mkhiweni,,handpump - afridev,,,,,,Well,
512307,WaterAid Swaziland,-26.2565,31.6673,2018-03-28T00:00:00.000,Yes,,Protected Shallow Well,,Handpump,Improved,Swaziland,Hlane,KaBen,,2015,Thirst,,,,,Borehole was constructed in 2015 by DWA and Thirst and the beneficiaries are 80 household. Borehole was pump tested and found to have a lot of water hence it’s amongst the boreholes to be pump tested for the LSRWSS Project.,,,Potable,,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#lat_deg, #lon_deg, #water_tech, #report_date, #install_year",SZ,"(-26.2565°, 31.6673°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (31.6673 -26.2565),1,SWZ,Swaziland,Manzini,Mkhiweni,,handpump,,,,,,Well,
511790,WaterAid Swaziland,-26.3953,31.6803,2018-03-07T00:00:00.000,Yes,,Protected Shallow Well,,Handpump - India Mark II,Improved,Swaziland,Dvokodvweni,Ndlovini,,2016,FNB through DPM office,,,,,"Majahonkhe Dlamini, water committee Chairperson said the borehole covers 55 homesteads and was constructed in 2016. The water from the borehole has a red colour which makes it hard for the community to use it for drinking.",,,Not Portable (The water from the borehole has a red colour which makes it hard for the community to use for drinking.),,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#lat_deg, #lon_deg, #water_tech, #report_date, #install_year",SZ,"(-26.3953°, 31.6803°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (31.6803 -26.3953),1,SWZ,Swaziland,Lubombo,Hlane,,handpump - india mark ii,,,,,,Well,
513734,WaterAid Swaziland,-27.2552,31.7125,2018-03-14T00:00:00.000,Yes,,Protected Shallow Well,,Handpump - Afridev,Improved,Swaziland,Hlane,Siphambanweni,,2002,World Vision,,,,,Borehole was constructed in 2002 through a donation by Wold Vision. It was rehabilitated once and it covers 70 households narrated Sibongile Ndzimandze.,,,Potable,,,,,,https://catalog.waterpointdata.org/datasets/wpdx-batch-for-wpdx-reingestion-5f21cc4b,https://catalog.waterpointdata.org/datafiles/wpdx-batch-for-wpdx-reingestion-5f21cc4b.csv,"#lat_deg, #lon_deg, #water_tech, #report_date, #install_year",SZ,"(-27.2552°, 31.7125°)",2020-07-29T19:21:47.000,2020-07-29T19:21:47.000,POINT (31.7125 -27.2552),1,SWZ,Swaziland,Shiselweni,Matsanjeni South,,handpump - afridev,,,,,,Well,
548341,WaterAid Eswatini,-26.2679,31.6794,2020-11-26T00:00:00.000,Yes,Borehole,Borehole,,Gravity Scheme,Improved,Swaziland,Manzini,Mkhiweni,,,,,,,,,,,,,,,,,https://catalog.waterpointdata.org/datasets/wateraid-eswatini-2020-5fc13742,https://catalog.waterpointdata.org/datafiles/wateraid-eswatini-2020-5fc13742.csv,,SWZ,"(-26.2679°, 31.6794°)",2020-11-27T17:28:34.000,2020-11-27T17:28:34.000,POINT (31.6794 -26.2679),1,SWZ,Swaziland,Manzini,Mkhiweni,,,borehole,,,,,Well,
548304,WaterAid Eswatini,-26.3575,31.6633,2020-11-26T00:00:00.000,Yes,Borehole,Borehole,,Gravity Scheme,Improved,Swaziland,Lubombo,Dvokodvweni,,,,,,,,,,,,,,,,,https://catalog.waterpointdata.org/datasets/wateraid-eswatini-2020-5fc13742,https://catalog.waterpointdata.org/datafiles/wateraid-eswatini-2020-5fc13742.csv,,SWZ,"(-26.3575°, 31.6633°)",2020-11-27T17:28:34.000,2020-11-27T17:28:34.000,POINT (31.6633 -26.3575),1,SWZ,Swaziland,Lubombo,Hlane,,,borehole,,,,,Well,
