/* DATA DESCRIPTION:,,,,,,,,,,,,,,,,,,,
Citation:,Thomas, S A; McGwire, Kenneth C; Thomas, J; Kratt, C; Lutz, A; McKay, W A; Trammell, E Jamie (2012): Geospatial analysis of groundwater depth for manual well drilling suitability in the Zinder Region, Niger. PANGAEA, https://doi.org/10.1594/PANGAEA.778418, ,,,,,,,,
,Supplement to: Thomas, SA et al. (2012): Geospatial and regression tree analysis to map groundwater depth for manual well drilling suitability in the Zinder Region of Niger. Journal of Hydrology, 446-447, 35-47, https://doi.org/10.1016/j.jhydrol.2012.04.023,,,,,,,,,,,,,,
Abstract:,Manual and low-tech well drilling techniques have potential to assist in reaching the United Nations' millennium development goal for water in sub-Saharan Africa. This study used publicly available geospatial data in a regression tree analysis to predict groundwater depth in the Zinder region of Niger to identify suitable areas for manual well drilling. Regression trees were developed and tested on a database for 3681 wells in the Zinder region. A tree with 17 terminal leaves provided a range of ground water depth estimates that were appropriate for manual drilling, though much of the tree's complexity was associated with depths that were beyond manual methods. A natural log transformation of groundwater depth was tested to see if rescaling dataset variance would result in finer distinctions for regions of shallow groundwater. The RMSE for a log-transformed tree with only 10 terminal leaves was almost half that of the untransformed 17 leaf tree for groundwater depths less than 10 m. This analysis indicated important groundwater relationships for commonly available maps of geology, soils, elevation, and enhanced vegetation index from the MODIS satellite imaging system.,,,,,,,,,,,,,,
Coverage:,MEDIAN LATITUDE: 13.553014 * MEDIAN LONGITUDE: 9.183247 * SOUTH-BOUND LATITUDE: 12.815278 * WEST-BOUND LONGITUDE: 8.255000 * NORTH-BOUND LATITUDE: 14.996389 * EAST-BOUND LONGITUDE: 10.291667,,,,,,,,,,,,,,,,,,
,DATE/TIME START: 1980-01-01T00:00:00 * DATE/TIME END: 2009-01-01T00:00:00,,,,,,,,,,,,,,,,,,
,MINIMUM ELEVATION: 356 m a.s.l. * MAXIMUM ELEVATION: 598 m a.s.l.,,,,,,,,,,,,,,,,,,
Event(s):,Zinder_Region (URI: http://en.wikipedia.org/wiki/Zinder_Region) * LATITUDE: 13.773700 * LONGITUDE: 9.247860 * DATE/TIME START: 1980-01-01T00:00:00 * DATE/TIME END: 2009-01-01T00:00:00 * ELEVATION: 435.0 m * LOCATION: Niger, Zinder Region * METHOD/DEVICE: Monitoring (MON),,,,,,,,,,,,,,,,,
Parameter(s):,Sample ID (Sample ID) * PI: McGwire, Kenneth C (kenm@dri.edu) * COMMENT: well,,,,,,,,,,,,,,,,,
,LONGITUDE (Longitude) * GEOCODE,,,,,,,,,,,,,,,,,,
,LATITUDE (Latitude) * GEOCODE,,,,,,,,,,,,,,,,,,
,x (x) * PI: McGwire, Kenneth C (kenm@dri.edu),,,,,,,,,,,,,,,,,
,y (y) * PI: McGwire, Kenneth C (kenm@dri.edu),,,,,,,,,,,,,,,,,
,ELEVATION [m a.s.l.] (Elevation) * GEOCODE,,,,,,,,,,,,,,,,,,
,Depth, groundwater table [m] (Depth GW) * PI: McGwire, Kenneth C (kenm@dri.edu),,,,,,,,,,,,,,,,
,Depth, groundwater table, error [m] (Depth GW e) * PI: McGwire, Kenneth C (kenm@dri.edu),,,,,,,,,,,,,,,
,Rock type (Rock) * PI: McGwire, Kenneth C (kenm@dri.edu),,,,,,,,,,,,,,,,,
,Soil composition (Soil comp) * PI: McGwire, Kenneth C (kenm@dri.edu),,,,,,,,,,,,,,,,,
,Distance [m] (Distance) * PI: McGwire, Kenneth C (kenm@dri.edu) * COMMENT: to persistent surface water / to ephemeral standing water,,,,,,,,,,,,,,,,,
